Table with column headers in rows 3 and 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2024 Poverty and Median Household Income Estimates - Counties, States, and National
Source: U.S. Census Bureau, Small Area Income and Poverty Estimates (SAIPE) Program January 2026, Project No. P-7502872 / Approval CBDRB-FY25-0429.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geographic Information,,,,All Ages,,,,,,Age 0-17,,,,,,Age 5-17 in Families,,,,,,Median Household Income,,,Age 0-4,,,,,
State FIPS Code,County FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-4",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-4",90% CI Lower Bound,90% CI Upper Bound
00,000,US,United States,"40,354,267","40,105,706","40,602,828",12.1,12.0,12.2,"11,116,682","10,989,731","11,243,633",15.5,15.3,15.7,"7,861,509","7,763,823","7,959,195",14.7,14.5,14.9,"81,604","81,476","81,732","2,971,742","2,921,307","3,022,177",16.5,16.2,16.8
01,000,AL,Alabama,"763,679","745,419","781,939",15.2,14.8,15.6,"227,337","218,194","236,480",20.4,19.6,21.2,"159,363","151,439","167,287",19.3,18.3,20.3,"66,704","65,935","67,473","64,262","60,186","68,338",22.4,21.0,23.8
01,001,AL,Autauga County,"7,829","6,646","9,012",12.9,11.0,14.8,"2,364","1,825","2,903",16.7,12.9,20.5,"1,858","1,440","2,276",17.7,13.7,21.7,"78,840","71,605","86,075",.,.,.,.,.,.
01,003,AL,Baldwin County,"26,958","22,767","31,149",10.5,8.9,12.1,"8,000","6,234","9,766",15.0,11.7,18.3,"5,721","4,288","7,154",14.2,10.6,17.8,"82,519","77,854","87,184",.,.,.,.,.,.
01,005,AL,Barbour County,"6,093","4,933","7,253",28.1,22.7,33.5,"1,853","1,364","2,342",37.9,27.9,47.9,"1,463","1,090","1,836",40.3,30.0,50.6,"45,902","40,508","51,296",.,.,.,.,.,.
01,007,AL,Bibb County,"4,334","3,531","5,137",21.6,17.6,25.6,"1,250",983,"1,517",28.8,22.7,34.9,802,575,"1,029",25.6,18.3,32.9,"60,359","53,542","67,176",.,.,.,.,.,.
01,009,AL,Blount County,"6,998","5,667","8,329",11.7,9.5,13.9,"2,011","1,370","2,652",14.9,10.2,19.6,"1,488",955,"2,021",14.8,9.5,20.1,"69,371","64,742","74,000",.,.,.,.,.,.
01,011,AL,Bullock County,"3,026","2,410","3,642",36.7,29.2,44.2,823,593,"1,053",41.8,30.1,53.5,581,391,771,39.5,26.6,52.4,"36,826","32,465","41,187",.,.,.,.,.,.
01,013,AL,Butler County,"3,650","2,746","4,554",20.3,15.3,25.3,"1,248",838,"1,658",31.4,21.1,41.7,893,558,"1,228",30.0,18.7,41.3,"47,673","42,388","52,958",.,.,.,.,.,.
01,015,AL,Calhoun County,"20,451","17,369","23,533",18.5,15.7,21.3,"6,193","4,821","7,565",25.5,19.9,31.1,"4,275","3,187","5,363",24.0,17.9,30.1,"53,533","50,678","56,388",.,.,.,.,.,.
01,017,AL,Chambers County,"6,218","4,847","7,589",18.9,14.7,23.1,"1,972","1,427","2,517",28.4,20.6,36.2,"1,457","1,010","1,904",28.5,19.7,37.3,"51,067","46,651","55,483",.,.,.,.,.,.
01,019,AL,Cherokee County,"3,988","3,047","4,929",15.4,11.8,19.0,997,665,"1,329",21.3,14.2,28.4,731,456,"1,006",20.9,13.0,28.8,"61,632","58,238","65,026",.,.,.,.,.,.
01,021,AL,Chilton County,"7,195","5,822","8,568",15.4,12.5,18.3,"2,549","1,885","3,213",22.7,16.8,28.6,"1,691","1,121","2,261",20.3,13.5,27.1,"66,063","60,418","71,708",.,.,.,.,.,.
01,023,AL,Choctaw County,"2,626","2,015","3,237",21.9,16.8,27.0,707,485,929,31.3,21.5,41.1,456,274,638,27.3,16.4,38.2,"49,024","43,472","54,576",.,.,.,.,.,.
01,025,AL,Clarke County,"3,873","2,852","4,894",17.8,13.1,22.5,"1,405",928,"1,882",29.2,19.3,39.1,959,572,"1,346",27.7,16.5,38.9,"49,366","44,507","54,225",.,.,.,.,.,.
01,027,AL,Clay County,"2,429","1,888","2,970",17.4,13.5,21.3,718,486,950,24.3,16.4,32.2,520,331,709,24.4,15.5,33.3,"53,550","47,202","59,898",.,.,.,.,.,.
01,029,AL,Cleburne County,"2,198","1,675","2,721",14.0,10.7,17.3,685,463,907,19.1,12.9,25.3,484,301,667,18.1,11.3,24.9,"62,370","55,308","69,432",.,.,.,.,.,.
01,031,AL,Coffee County,"7,178","5,854","8,502",12.9,10.5,15.3,"2,365","1,652","3,078",17.7,12.4,23.0,"1,605","1,033","2,177",16.1,10.4,21.8,"71,584","65,981","77,187",.,.,.,.,.,.
01,033,AL,Colbert County,"8,675","7,060","10,290",14.9,12.1,17.7,"2,742","2,078","3,406",22.2,16.8,27.6,"2,001","1,461","2,541",22.0,16.1,27.9,"62,972","57,100","68,844",.,.,.,.,.,.
01,035,AL,Conecuh County,"2,491","1,881","3,101",22.7,17.1,28.3,750,497,"1,003",34.0,22.5,45.5,545,337,753,34.0,21.1,46.9,"42,886","37,879","47,893",.,.,.,.,.,.
01,037,AL,Coosa County,"1,903","1,467","2,339",19.1,14.7,23.5,444,304,584,27.4,18.8,36.0,325,210,440,27.3,17.6,37.0,"53,054","47,097","59,011",.,.,.,.,.,.
01,039,AL,Covington County,"7,004","5,753","8,255",18.9,15.5,22.3,"2,127","1,562","2,692",25.7,18.9,32.5,"1,596","1,139","2,053",25.9,18.5,33.3,"53,576","47,955","59,197",.,.,.,.,.,.
01,041,AL,Crenshaw County,"2,636","2,101","3,171",20.4,16.3,24.5,812,575,"1,049",27.6,19.5,35.7,600,412,788,28.1,19.3,36.9,"51,238","46,457","56,019",.,.,.,.,.,.
01,043,AL,Cullman County,"12,858","10,618","15,098",14.1,11.6,16.6,"3,873","3,034","4,712",19.2,15.0,23.4,"2,751","2,080","3,422",18.4,13.9,22.9,"64,722","58,647","70,797",.,.,.,.,.,.
01,045,AL,Dale County,"8,533","7,070","9,996",17.3,14.3,20.3,"2,740","1,974","3,506",23.8,17.1,30.5,"1,935","1,363","2,507",23.8,16.8,30.8,"58,359","53,545","63,173",.,.,.,.,.,.
01,047,AL,Dallas County,"10,400","8,224","12,576",29.6,23.4,35.8,"3,568","2,511","4,625",44.9,31.6,58.2,"2,530","1,667","3,393",43.1,28.4,57.8,"41,409","36,872","45,946",.,.,.,.,.,.
01,049,AL,DeKalb County,"15,403","13,419","17,387",21.3,18.6,24.0,"4,966","4,134","5,798",29.4,24.5,34.3,"3,397","2,656","4,138",26.7,20.9,32.5,"54,180","50,017","58,343",.,.,.,.,.,.
01,051,AL,Elmore County,"9,441","7,348","11,534",11.1,8.6,13.6,"2,937","2,024","3,850",15.5,10.7,20.3,"2,129","1,366","2,892",14.9,9.6,20.2,"80,024","73,669","86,379",.,.,.,.,.,.
01,053,AL,Escambia County,"6,775","5,363","8,187",19.7,15.6,23.8,"2,095","1,442","2,748",25.8,17.8,33.8,"1,519",984,"2,054",25.4,16.5,34.3,"56,963","52,542","61,384",.,.,.,.,.,.
01,055,AL,Etowah County,"17,475","15,094","19,856",17.2,14.9,19.5,"5,256","4,018","6,494",23.6,18.0,29.2,"3,917","2,938","4,896",23.9,17.9,29.9,"57,284","52,628","61,940",.,.,.,.,.,.
01,057,AL,Fayette County,"2,735","2,109","3,361",17.5,13.5,21.5,787,552,"1,022",23.8,16.7,30.9,591,399,783,23.7,16.0,31.4,"54,089","48,663","59,515",.,.,.,.,.,.
01,059,AL,Franklin County,"5,596","4,347","6,845",17.9,13.9,21.9,"1,928","1,361","2,495",24.5,17.3,31.7,"1,306",825,"1,787",23.1,14.6,31.6,"56,059","50,550","61,568",.,.,.,.,.,.
01,061,AL,Geneva County,"4,611","3,525","5,697",17.1,13.1,21.1,"1,489","1,011","1,967",25.5,17.3,33.7,"1,018",617,"1,419",23.2,14.1,32.3,"55,097","49,591","60,603",.,.,.,.,.,.
01,063,AL,Greene County,"2,392","1,884","2,900",33.7,26.5,40.9,778,560,996,51.6,37.2,66.0,583,403,763,53.3,36.9,69.7,"35,813","31,537","40,089",.,.,.,.,.,.
01,065,AL,Hale County,"3,136","2,363","3,909",21.0,15.8,26.2,"1,183",794,"1,572",32.1,21.6,42.6,827,521,"1,133",31.3,19.7,42.9,"50,041","44,399","55,683",.,.,.,.,.,.
01,067,AL,Henry County,"2,875","2,221","3,529",16.0,12.4,19.6,720,470,970,19.6,12.8,26.4,529,326,732,19.2,11.9,26.5,"62,086","55,459","68,713",.,.,.,.,.,.
01,069,AL,Houston County,"18,412","16,360","20,464",17.0,15.1,18.9,"6,274","5,249","7,299",25.8,21.6,30.0,"4,010","3,177","4,843",22.6,17.9,27.3,"59,056","55,444","62,668",.,.,.,.,.,.
01,071,AL,Jackson County,"9,026","7,637","10,415",17.0,14.4,19.6,"2,234","1,638","2,830",20.3,14.9,25.7,"1,543","1,070","2,016",18.9,13.1,24.7,"56,900","51,916","61,884",.,.,.,.,.,.
01,073,AL,Jefferson County,"91,891","81,671","102,111",14.2,12.6,15.8,"28,299","23,611","32,987",19.1,15.9,22.3,"20,528","16,938","24,118",18.7,15.4,22.0,"69,346","66,790","71,902",.,.,.,.,.,.
01,075,AL,Lamar County,"2,421","1,921","2,921",18.1,14.4,21.8,649,450,848,22.3,15.5,29.1,463,305,621,21.7,14.3,29.1,"54,598","48,141","61,055",.,.,.,.,.,.
01,077,AL,Lauderdale County,"11,831","9,326","14,336",12.8,10.1,15.5,"2,916","2,013","3,819",16.0,11.1,20.9,"1,893","1,140","2,646",14.0,8.4,19.6,"67,098","61,998","72,198",.,.,.,.,.,.
01,079,AL,Lawrence County,"5,348","4,315","6,381",16.1,13.0,19.2,"1,578","1,190","1,966",22.1,16.7,27.5,"1,182",863,"1,501",22.1,16.1,28.1,"68,936","65,708","72,164",.,.,.,.,.,.
01,081,AL,Lee County,"30,835","27,373","34,297",16.9,15.0,18.8,"6,291","5,011","7,571",16.7,13.3,20.1,"4,063","2,985","5,141",14.5,10.6,18.4,"70,233","66,785","73,681",.,.,.,.,.,.
01,083,AL,Limestone County,"11,906","9,852","13,960",10.3,8.5,12.1,"2,965","2,136","3,794",11.5,8.3,14.7,"2,058","1,426","2,690",10.8,7.5,14.1,"78,991","72,078","85,904",.,.,.,.,.,.
01,085,AL,Lowndes County,"2,327","1,759","2,895",25.0,18.9,31.1,787,531,"1,043",38.3,25.8,50.8,577,368,786,38.9,24.8,53.0,"46,580","41,177","51,983",.,.,.,.,.,.
01,087,AL,Macon County,"4,980","3,892","6,068",30.8,24.1,37.5,"1,217",877,"1,557",42.6,30.7,54.5,756,466,"1,046",36.0,22.2,49.8,"43,643","39,415","47,871",.,.,.,.,.,.
01,089,AL,Madison County,"39,626","34,548","44,704",9.6,8.4,10.8,"10,524","8,031","13,017",11.8,9.0,14.6,"7,273","5,257","9,289",11.1,8.0,14.2,"89,197","86,533","91,861",.,.,.,.,.,.
01,091,AL,Marengo County,"3,951","3,141","4,761",21.6,17.2,26.0,"1,214",815,"1,613",30.0,20.1,39.9,893,566,"1,220",29.6,18.8,40.4,"49,716","44,556","54,876",.,.,.,.,.,.
01,093,AL,Marion County,"4,656","3,645","5,667",16.3,12.8,19.8,"1,612","1,235","1,989",26.7,20.5,32.9,"1,190",891,"1,489",26.7,20.0,33.4,"52,965","47,514","58,416",.,.,.,.,.,.
01,095,AL,Marshall County,"16,033","13,669","18,397",15.9,13.6,18.2,"5,119","3,689","6,549",19.5,14.0,25.0,"3,530","2,379","4,681",19.0,12.8,25.2,"64,913","59,655","70,171",.,.,.,.,.,.
