"","ref_number","prefix","property_name","status","request_type","restricted_address","acreage_of_property","area_of_significance","category_of_property","state","county","city","street_number","external_link","listed_date","nhl_designated_date","other_names","park_name","property_id","district_name_lower","address","latitude","longitude"
"1","70000919",NA,"Eagle Historic District","Listed","Single",FALSE,360,"COMMUNICATIONS","DISTRICT","ALASKA","Southeast Fairbanks","Eagle","Mile 0, Taylor Hwy.","https://catalog.archives.gov/id/75325795","10/27/70","6/2/78","Eagle,City of;Egbert,Harry C.,Fort Site",NA,"70000919","eagle","Eagle Historic District Southeast Fairbanks ALASKA",64.7911,-141.21547
"2","66000156",NA,"Seal Island Historic District","Listed","Single",FALSE,6970,"INDUSTRY; NATIVE AMERICAN; CONSERVATION","DISTRICT","ALASKA","Aleutian Islands","Pribilof Islands","St. Paul and St. George Islands","https://catalog.archives.gov/id/75325279","10/15/66","6/13/62","The Seal Islands;Pribilof Islands;See Also:80000744;80000743; Fur Seal Rookeries",NA,"66000156","seal island","Seal Island Historic District Aleutian Islands ALASKA",56.90778,-170.04056
"3","66000943",NA,"Skagway Historic District and White Pass","Listed","Single",FALSE,10,"ARCHITECTURE","DISTRICT","ALASKA","Skagway-Yakutat-Angoon","Skagway and","Head of Taiya Inlet on Lynn Canal","https://catalog.archives.gov/id/75325339","10/15/66","6/13/62",NA,"Klondike Gold Rush","66000943","skagway and white pass","Skagway Historic District and White Pass Skagway-Yakutat-Angoon ALASKA",59.54476,-135.20805
"4","76000377",NA,"Fort Apache Historic District","Listed","Single",FALSE,288,"MILITARY","DISTRICT","ARIZONA","Navajo","Whiteriver","S of Whiteriver off AZ 73 on Fort Apache Indian Reservation","https://catalog.archives.gov/id/75610362","10/14/76","3/2/12",NA,NA,"76000377","fort apache","Fort Apache Historic District Navajo ARIZONA",33.790183596925,-109.953625340803
"5","75000343",NA,"Grand Canyon Village Historic District","Listed","Single",FALSE,73.1,"EXPLORATION/SETTLEMENT; ARCHITECTURE; POLITICS/GOVERNMENT; COMMERCE; TRANSPORTATION; CONSERVATION","DISTRICT","ARIZONA","Coconino","Grand Canyon","AZ 64","https://catalog.archives.gov/id/75609733","11/20/75","2/18/97","Grand Canyon Village;See Also:74000334;74000336;74000337;750","Grand Canyon","75000343","grand canyon village","Grand Canyon Village Historic District Coconino ARIZONA",36.0553671,-112.139166
"6","95001226",NA,"Grand Canyon Village Historic District (Boundary Increase)","Listed","Single",FALSE,52,"COMMUNITY PLANNING AND DEVELOPMENT; POLITICS/GOVERNMENT; ARCHITECTURE; LANDSCAPE ARCHITECTURE; OTHER","DISTRICT","ARIZONA","Coconino","Grand Canyon","Grand Canyon National Park","https://catalog.archives.gov/id/75609525","10/24/95","2/18/97","Grand Canyon Village;See Also:Grand Canyon Village Historic","Grand Canyon","95001226","grand canyon village (boundary increase)","Grand Canyon Village Historic District (Boundary Increase) Coconino ARIZONA",36.0553671,-112.139166
"7","66000196",NA,"Jerome Historic District","Listed","Single",FALSE,750,"INDUSTRY","DISTRICT","ARIZONA","Yavapai","Jerome","Jerome","https://catalog.archives.gov/id/75609560","11/13/66","11/13/66",NA,NA,"66000196","jerome","Jerome Historic District Yavapai ARIZONA",34.759094563803,-112.083380768853
"8","100000838","NL","Painted Desert Community Complex Historic District","Listed","NHL",FALSE,24,"COMMUNITY PLANNING AND DEVELOPMENT; ARCHITECTURE","district","ARIZONA","Apache","Petrified Forest National Park","One Park Rd.",NA,NA,"12/23/16",NA,NA,"05000284","painted desert community complex","Painted Desert Community Complex Historic District Apache ARIZONA",31.6905749,-109.1324316
"9","66000171",NA,"Tombstone Historic District","Listed","Single",FALSE,42,"INDUSTRY; POLITICS/GOVERNMENT; SOCIAL HISTORY","DISTRICT","ARIZONA","Cochise","Tombstone","U.S. 80","https://catalog.archives.gov/id/75609509","10/15/66","7/4/61","See Also:St. Paul`s Episcopal Church;Tombstone City Hall",NA,"66000171","tombstone","Tombstone Historic District Cochise ARIZONA",31.451290818533,-109.928468951452
"10","84001183",NA,"Aquatic Park Historic District","Listed","Single",FALSE,1,"COMMUNITY PLANNING AND DEVELOPMENT; ART; MILITARY; ARCHITECTURE","DISTRICT","CALIFORNIA","San Francisco","San Francisco","Bounded by Van Ness Ave., Hyde and Polk Sts.","https://catalog.archives.gov/id/123858050","1/26/84","5/28/87","Aquatic Park","Golden Gate","84001183","aquatic park","Aquatic Park Historic District San Francisco CALIFORNIA",37.80687,-122.42303
