Ref#,Prefix,Property Name,Status,Request Type,Restricted Address,Acreage of Property,Area of Significance,Category of Property,State,County,City ,Street & Number,External Link,Listed Date,NHL Designated Date,Other Names,Park Name,Property ID
66000152,,Alabama State Capitol,Listed,Single,FALSE,9, POLITICS/GOVERNMENT,BUILDING,ALABAMA,Montgomery,Montgomery,"Goat Hill, E end of Dexter Ave.",https://catalog.archives.gov/id/77835681,10/15/66,12/19/60, Confederate Capitol,,66000152
66000931,,Apalachicola Fort,Listed,Single,TRUE,10, HISTORIC - NON-ABORIGINAL; EXPLORATION/SETTLEMENT,SITE,ALABAMA,Russell,Holy Trinity,Address Restricted,,10/15/66,7/19/64,,,66000931
73000337,,Barton Hall,Listed,Single,FALSE,4, ARCHITECTURE,BUILDING,ALABAMA,Colbert,Cherokee,2.5 mi. (4 km) W of Cherokee on U.S. 72,https://catalog.archives.gov/id/77835633,11/7/73,11/7/73, Cunningham Plantation,,73000337
05000455,,"Bethel Baptist Church, Parsonage, and Guardhouse",Listed,Single,FALSE,, LAW; POLITICS/GOVERNMENT; ETHNIC HERITAGE-BLACK; SOCIAL HISTORY,building,ALABAMA,Jefferson,Collegeville,"3233, 3232, and 3236 29th Avenue North",https://catalog.archives.gov/id/77835649,4/5/05,4/5/05,,,05000455
74000398,,Bottle Creek Indian Mounds,Listed,Single,TRUE,255, PREHISTORIC; HISTORIC - ABORIGINAL,SITE,ALABAMA,Baldwin,Stockton,Address Restricted,,12/2/74,4/19/94, Mound Island;Bottle Creek Site (1 Ba 2),,74000398
82002009,,Brown Chapel African Methodist Episcopal Church,Listed,Single,FALSE,7.5, BLACK; POLITICS/GOVERNMENT; ARCHITECTURE; SOCIAL HISTORY,building,ALABAMA,Dallas,Selma,"410 Martin Luther King, Jr. St.",https://catalog.archives.gov/id/77836066,2/4/82,12/9/97,,,82002009
76002259,,"Clayton, Henry D., House",Listed,Single,FALSE,51, COMMERCE; POLITICS/GOVERNMENT,BUILDING,ALABAMA,Barbour,Clayton,1 mi. S of Clayton off AL 30,https://catalog.archives.gov/id/77835631,12/8/76,12/8/76, Clayton Plantation,,76002259
66000154,,"Curry, J. L. M., House",Listed,Single,FALSE,760.5, EDUCATION,BUILDING,ALABAMA,Talladega,Talladega,3 mi. NE of Talladega on AL 21,https://catalog.archives.gov/id/77835692,10/15/66,12/21/65, Jabez Lamar Monroe Curry House,,66000154
74000431,,Dexter Avenue Baptist Church,Listed,Single,FALSE,0.9, BLACK; POLITICS/GOVERNMENT; RELIGION; SOCIAL HISTORY,BUILDING,ALABAMA,Montgomery,Montgomery,454 Dexter Ave.,https://catalog.archives.gov/id/77835679,7/1/74,5/30/74,,,74000431
13000281,,Edmund Pettus Bridge,Listed,Single,FALSE,,,STRUCTURE,ALABAMA,Dallas,Selma,"US 80, MP 85.415",,2/27/13,2/27/13,,,13000281
