"","ref_number","prefix","property_name","state","county","city","street_number","status","request_type","restricted_address","acreage_of_property","area_of_significance","category_of_property","external_link","level_of_significance_international","level_of_significance_national","level_of_significance_state","level_of_significance_local","level_of_significance_not_indicated","listed_date","nhl_designated_date","other_names","park_name","property_id","district_name","address","latitude","longitude"
"1","08000752",NA,"Feldman's Historic District (Boundary Increase)","Arizona","Pima","Tucson","Generally N. of E. Speedway Blvd.; W. of N. Park Ave.; S. of E. Lee St.; E. of N. 7th St.","Listed","Single",FALSE,108,"Architecture; Community Planning And Development; Health/Medicine","District","https://catalog.archives.gov/id/75610488",FALSE,FALSE,FALSE,TRUE,FALSE,2008-08-05,NA,"Speedway-Drachman Historic District",NA,"08000752","Feldman's (Boundary Increase)","Feldman's Historic District (Boundary Increase), Pima, Arizona",32.896229,-109.827228
"2","100001726","SG","Fourth Avenue Commercial Historic District","Arizona","Pima","Tucson","4th Ave. from approx. 4th to 9th Sts.","Listed","Single",FALSE,23.5,"Commerce; Community Planning And Development; Architecture","District",NA,FALSE,FALSE,FALSE,TRUE,FALSE,2017-10-12,NA,NA,NA,"100001726","Fourth Avenue Commercial","Fourth Avenue Commercial Historic District, Pima, Arizona",32.896229,-109.827228
"3","94001164","AD","Hughes, Sam, Neighborhood Historic District (Additional Documentation)","Arizona","Pima","Tucson","Roughly bounded by East Speedway Blvd., North Campbell Ave., East 7th St. and North Bentley Ave.","Listed","Add.doc.",FALSE,218,"Architecture; Community Planning And Development; Landscape Architecture","District","https://catalog.archives.gov/id/75610490",FALSE,FALSE,FALSE,TRUE,FALSE,1994-09-29,NA,"See Also:Sourtern Pacific Railroad Locomotive #1673",NA,"94001164","Hughes, Sam, Neighborhood (Additional Documentation)","Hughes, Sam, Neighborhood Historic District (Additional Documentation), Pima, Arizona",32.896229,-109.827228
"4","01001173",NA,"Indian House Community Residential Historic District","Arizona","Pima","Tucson","Roughly bounded by 5th St., E. Wash, Kane Estates, and Sahura St.","Listed","Single",FALSE,40,"Community Planning And Development; Architecture","District","https://catalog.archives.gov/id/75610444",FALSE,FALSE,FALSE,TRUE,FALSE,2001-10-28,NA,NA,NA,"01001173","Indian House Community Residential","Indian House Community Residential Historic District, Pima, Arizona",32.896229,-109.827228
"5","10000467","AD","Indian Ridge Historic District","Arizona","Pima","Tucson","2648 N. Indian Ridge Dr.","Listed","Add.doc.",FALSE,186.8,"Architecture; Community Planning And Development","District",NA,FALSE,FALSE,FALSE,TRUE,FALSE,2010-07-16,NA,"Club Crest Estates; Indian Ridge Estates",NA,"10000467","Indian Ridge","Indian Ridge Historic District, Pima, Arizona",32.225405505032,-110.912268981762
"6","86001347","AD","Iron Horse Expansion Historic District (Additional Documentation)","Arizona","Pima","Tucson","601 East 10th St.","Listed","Add.doc.",FALSE,34,"Transportation; Architecture; Social History","District","https://catalog.archives.gov/id/75610528",FALSE,FALSE,FALSE,TRUE,FALSE,1986-06-19,NA,NA,NA,"86001347","Iron Horse Expansion (Additional Documentation)","Iron Horse Expansion Historic District (Additional Documentation), Pima, Arizona",32.223826,-110.963249
"7","12000241","AD","Jefferson Park Historic District (Additional Documentation)","Arizona","Pima","Tucson","1290 Edison St.","Listed","Add.doc.",FALSE,272,"Community Planning And Development","District","https://catalog.archives.gov/id/75610542",FALSE,FALSE,FALSE,TRUE,FALSE,2012-05-01,NA,NA,NA,"12000241","Jefferson Park (Additional Documentation)","Jefferson Park Historic District (Additional Documentation), Pima, Arizona",32.245748,-110.953857
"8","95001312",NA,"Kentucky Camp Historic District","Arizona","Pima","Sonoita","Address Restricted","Listed","Single",TRUE,340,"Historic - Non-Aboriginal; Engineering; Industry","District",NA,FALSE,FALSE,TRUE,FALSE,FALSE,1995-11-22,NA,"Kentucky Camp;Santa Rita Water and Mining Company Water Syst",NA,"95001312","Kentucky Camp","Kentucky Camp Historic District, Pima, Arizona",32.216310442254,-110.962861709782
"9","11000760",NA,"Marist College Historic District","Arizona","Pima","Tucson","72 W. Ochoa St.","Listed","Single",FALSE,4,"Architecture; Education; Religion","District","https://catalog.archives.gov/id/75610506",FALSE,FALSE,TRUE,FALSE,FALSE,2011-10-25,NA,"Marist College;; Our Lady's Chapel &amp; Cathedral Parish Hall",NA,"11000760","Marist College","Marist College Historic District, Pima, Arizona",32.216310442254,-110.962861709782
"10","10000201",NA,"Menlo Park Historic District","Arizona","Pima","Tucson","13 Subdivisions irregulary bounded around Grande Ave. and W. Congress St. intersection","Listed","Single",FALSE,233.4,"Community Planning And Development","District","https://catalog.archives.gov/id/75610540",FALSE,FALSE,FALSE,TRUE,FALSE,2010-04-23,NA,"Menlo Park Neighborhood",NA,"10000201","Menlo Park","Menlo Park Historic District, Pima, Arizona",32.216310442254,-110.962861709782
