state_or_territory,total_area_sq_mi,total_area_sq_km,land_area_sq_mi,land_area_sq_km,water_area_sq_mi,water_area_sq_km,total_area_acres,land_area_acres,water_area_acres
Alabama,52420,135767,50645,131171,1775,4597,33548800,32412800,1136000
Alaska,665384,1723337,570641,1477953,94743,245383,425845760,365210240,60635520
Arizona,113990,295234,113594,294207,396,1026,72953600,72700160,253440
Arkansas,53179,137732,52035,134771,1143,2961,34034560,33302400,731520
California,163695,423967,155779,403466,7916,20501,104764800,99698560,5066240
Colorado,104094,269601,103642,268431,452,1170,66620160,66330880,289280
Connecticut,5543,14357,4842,12542,701,1816,3547520,3098880,448640
Delaware,2489,6446,1949,5047,540,1399,1592960,1247360,345600
District of Columbia,68,177,61,158,7,19,43520,39040,4480
Florida,65758,170312,53625,138887,12133,31424,42085120,34320000,7765120
Georgia,59425,153910,57513,148959,1912,4951,38032000,36808320,1223680
Hawaii,10932,28313,6423,16635,4509,11678,6996480,4110720,2885760
Idaho,83569,216443,82643,214045,926,2398,53484160,52891520,592640
Illinois,57914,149995,55519,143793,2395,6202,37064960,35532160,1532800
Indiana,36420,94326,35826,92789,593,1537,23308800,22928640,379520
Iowa,56273,145746,55857,144669,416,1077,36014720,35748480,266240
Kansas,82278,213100,81759,211754,520,1346,52657920,52325760,332800
Kentucky,40408,104656,39486,102269,921,2387,25861120,25271040,589440
Louisiana,52378,135659,43204,111898,9174,23761,33521920,27650560,5871360
Maine,35380,91633,30843,79883,4537,11750,22643200,19739520,2903680
Maryland,12406,32131,9707,25142,2699,6990,7939840,6212480,1727360
Massachusetts,10554,27336,7800,20202,2754,7134,6754560,4992000,1762560
Michigan,96714,250487,56539,146435,40175,104052,61896960,36184960,25712000
Minnesota,86936,225163,79627,206232,7309,18930,55639040,50961280,4677760
Mississippi,48432,125438,46923,121531,1509,3907,30996480,30030720,965760
Missouri,69707,180540,68742,178040,965,2501,44612480,43994880,617600
Montana,147040,380831,145546,376962,1494,3869,94105600,93149440,956160
Nebraska,77348,200330,76824,198974,524,1356,49502720,49167360,335360
Nevada,110572,286380,109781,284332,791,2048,70766080,70259840,506240
New Hampshire,9349,24214,8953,23187,397,1027,5983360,5729920,254080
New Jersey,8723,22591,7354,19047,1368,3544,5582720,4706560,875520
New Mexico,121590,314917,121298,314161,292,757,77817600,77630720,186880
New York,54555,141297,47126,122057,7429,19240,34915200,30160640,4754560
North Carolina,53819,139391,48618,125920,5201,13471,34444160,31115520,3328640
North Dakota,70698,183108,69001,178711,1698,4397,45246720,44160640,1086720
Ohio,44826,116098,40861,105829,3965,10269,28688640,26151040,2537600
Oklahoma,69899,181037,68595,177660,1304,3377,44735360,43900800,834560
Oregon,98379,254799,95988,248608,2391,6191,62962560,61432320,1530240
Pennsylvania,46054,119280,44743,115883,1312,3397,29474560,28635520,839680
Rhode Island,1545,4001,1034,2678,511,1324,988800,661760,327040
South Carolina,32020,82933,30061,77857,1960,5076,20492800,19239040,1254400
South Dakota,77116,199729,75811,196350,1305,3379,49354240,48519040,835200
Tennessee,42144,109153,41235,106798,909,2355,26972160,26390400,581760
Texas,268596,695662,261232,676587,7365,19075,171901440,167188480,4713600
Utah,84897,219882,82170,212818,2727,7064,54334080,52588800,1745280
Vermont,9616,24906,9217,23871,400,1035,6154240,5898880,256000
Virginia,42775,110787,39490,102279,3285,8508,27376000,25273600,2102400
Washington,71298,184661,66456,172119,4842,12542,45630720,42531840,3098880
West Virginia,24230,62756,24038,62259,192,497,15507200,15384320,122880
Wisconsin,65496,169635,54158,140268,11339,29367,41917440,34661120,7256960
Wyoming,97813,253335,97093,251470,720,1864,62600320,62139520,460800
Puerto Rico,5325,13791,3424,8868,1901,4924,3408000,2191360,1216640
American Samoa,581,1505,76,198,505,1307,371840,48640,323200
Guam,571,1478,210,543,361,935,365440,134400,231040
Northern Mariana Islands,1976,5117,182,472,1793,4644,1264640,116480,1147520
U.S. Virgin Islands,733,1898,134,348,599,1550,469120,85760,383360
