Manufacturer,Plant Name,Address,Products,latitude,longitude
General Motors,Arlington Assembly,"2525 E Abram St. Arlington, Texas 76010","Cadillac Escalade, Cadillac Escalade ESV, Chevrolet Tahoe, Chevrolet Suburban, GMC Yukon, GMC Yukon XL",32.73802732245,-97.067737475535
General Motors,Bowling Green Assembly,"600 Corvette Drive Bowling Green, Kentucky 42101",Chevrolet Corvette,37.009905472868,-86.365758621304
General Motors,Detroit/Hamtramck Assembly,"2500 East Grand Blvd. Detroit, Michigan 48211","Chevrolet Silverado EV, GMC Sierra EV, Cadillac Escalade IQ, GMC Hummer EV",42.380815624437,-83.046410215575
General Motors,Fairfax Assembly,"3201 Fairfax Trafficway, Kansas City, Kansas 66115","Chevrolet Bolt EV, Chevrolet Equinox, Chevrolet Equinox EV, Buick Envision (2028)",39.14716492833,-94.606086422971
General Motors,Flint Truck Assembly,"3100 Vanslyke Rd. Flint, Michigan 48551","Chevrolet Silverado, GMC Sierra",42.987599993584,-83.714031988622
General Motors,Fort Wayne Assembly,"12200 Lafayette Center Rd. Roanoke, Indiana 46783","Chevrolet Silverado, GMC Sierra",40.962849986256,-85.303179978069
General Motors,Lansing Delta Township Assembly,"8175 Millett Hwy. Lansing, Michigan 48921","Buick Enclave, Chevrolet Traverse, GMC Acadia",42.69708964168,-84.67594229834
General Motors,Lansing Grand River Assembly,"920 Townsend St. Lansing, Michigan 48921","Cadillac CT4, Cadillac CT5",42.724079998547,-84.555979997179
General Motors,Orion Assembly,"4555 Giddings Rd. Lake Orion, Michigan 48359","Chevrolet Silverado, GMC Sierra, Cadillac Escalade",42.716009692622,-83.26089657995
General Motors,Spring Hill Manufacturing,"100 Saturn Prky. Spring Hill, Tennessee 37174","Cadillac Lyriq, Cadillac Vistiq, Chevrolet Blazer (crossover)",35.739817771008,-86.961560895183
General Motors,Wentzville Assembly,"1500 East Route A. Wentzville, Missouri 63385","Chevrolet Express, GMC Savana, Chevrolet Colorado, GMC Canyon",38.823065715324,-90.820821007163
Ford Motor Company,Flat Rock Assembly Plant,"1 International Dr. Flat Rock, Michigan 48134",Ford Mustang,42.098485842393,-83.246995864085
Ford Motor Company,Chicago Assembly,"12600 S Torrance Ave. Chicago, Illinois 60633","Ford Explorer, Lincoln Aviator",41.663752944052,-87.5614389533
Ford Motor Company,Dearborn Truck,"3001 Miller Rd. Dearborn, Michigan 48120",Ford F-150,42.296054299127,-83.162100093049
Ford Motor Company,Kansas City Assembly,"8121 NE 69th Hwy. Claycomo, Missouri 64068","Ford F-150, Ford Transit",39.200396299921,-94.482215472722
Ford Motor Company,Kentucky Truck Plant,"3001 Chamberlain Ln. Louisville, Kentucky 40241","Ford Super Duty, Ford Expedition & Expedition Max, Lincoln Navigator & Navigator L",38.293511927265,-85.532210537015
Ford Motor Company,Louisville Assembly Plant,"2000 Fern Valley Rd. Louisville, Kentucky 40213",,38.154998295081,-85.727161870211
Ford Motor Company,Michigan Assembly Plant,"37625 Michigan Ave. Wayne, Michigan 48184","Ford Ranger, Ford Bronco",42.275289349386,-83.407125921644
