latitude,longitude,company,facility_name,city,state,address,products_or_focus,source_dataset,EV_facility
33.656194,-83.718567,Rivian,Georgia Manufacturing Plant,Social Circle,GA,"Georgia Manufacturing Plant, Social Circle, GA",Light-Duty (Class 1-2),EV manufacturing,TRUE
41.235151,-85.856639,Slate Auto,Truck Manufacturing Facility,Warsaw,IN,"Truck Manufacturing Facility, Warsaw, IN",Light-Duty (Class 1-2),EV manufacturing,TRUE
30.264979,-97.746598,Tesla,Gigafactory 5,Austin,TX,"Gigafactory 5, Austin, TX",Multiple Classes,EV manufacturing,TRUE
38.25752,-84.547617,Toyota,Toyota Motor Manufacturing Kentucky,Georgetown,KY,"Toyota Motor Manufacturing Kentucky, Georgetown, KY",Light-Duty (Class 1-2),EV manufacturing,TRUE
35.622969,-79.076953,VinFast,Chatham County Facility,Moncure,NC,"Chatham County Facility, Moncure, NC",Multiple Classes,EV manufacturing,TRUE
40.326752,-82.817043,Honda,East Liberty Auto Plant,East Liberty,OH,"East Liberty Auto Plant, East Liberty, OH",Light-Duty (Class 1-2),EV manufacturing,TRUE
40.2767,-83.507149,Honda,Marysville Auto Plant,Marysville,OH,"Marysville Auto Plant, Marysville, OH",Light-Duty (Class 1-2),EV manufacturing,TRUE
34.215166,-80.973608,Scout Motors,Blythewood Facility,Columbia,SC,"Blythewood Facility, Columbia, SC",Light-Duty (Class 1-2),EV manufacturing,TRUE
34.215166,-80.973608,Scout Motors,Blythewood Facility,Columbia,SC,"Blythewood Facility, Columbia, SC",Light-Duty (Class 1-2),EV manufacturing,TRUE
31.851066,-106.63205,GreenPower Motors,Santa Teresa Facility,Santa Teresa,NM,"Santa Teresa Facility, Santa Teresa, NM",Medium-Duty (Class 3-6),EV manufacturing,TRUE
35.464095,-89.402431000000007,Ford,BlueOval Tennessee Truck Plant,Stanton,TN,"BlueOval Tennessee Truck Plant, Stanton, TN",Light-Duty (Class 1-2),EV manufacturing,TRUE
41.487954,-82.075419,Ford,Ford Ohio Assembly Plant,Sheffield,OH,"Ford Ohio Assembly Plant, Sheffield, OH",Medium-Duty (Class 3-6),EV manufacturing,TRUE
36.327726,-119.645914,Faraday Future,FF ieFactory California,Hanford,CA,"FF ieFactory California, Hanford, CA",Light-Duty (Class 1-2),EV manufacturing,TRUE
42.459791,-83.18197,Bollinger Motors,Oak Park Factory,Oak Park,MI,"Oak Park Factory, Oak Park, MI",Multiple Classes,EV manufacturing,TRUE
33.1660368,-117.3379272,Aptera,Aptera San Diego Manufacturing Facility,Carlsbad,CA,"Aptera San Diego Manufacturing Facility, Carlsbad, CA",Light-Duty (Class 1-2),EV manufacturing,TRUE
42.378363,-83.04687,General Motors,Factory ZERO Detroit-Hamtramck Assembly Center,Detroit,MI,"Factory ZERO Detroit-Hamtramck Assembly Center, Detroit, MI",Light-Duty (Class 1-2),EV manufacturing,TRUE
39.540664,-119.439341,Tesla,Gigafactory Nevada,Sparks,NV,"Gigafactory Nevada, Sparks, NV",Heavy-Duty (Class 7-8),EV manufacturing,TRUE
42.455747,-83.041027,Stellantis,Warren Truck Assembly Plant,Warren,MI,"Warren Truck Assembly Plant, Warren, MI",Light-Duty (Class 1-2),EV manufacturing,TRUE
32.6138758,-90.0349356,Nissan,Canton Factory,Canton,MS,"Canton Factory, Canton, MS",Light-Duty (Class 1-2),EV manufacturing,TRUE
32.0806102,-81.0900966,Hyundai,Metaplant Manufacturing Joint Venture (JV),Savannah,GA,"Metaplant Manufacturing Joint Venture (JV), Savannah, GA",Multiple Classes,EV manufacturing,TRUE
34.215166,-80.973608,Scout Motors,Blythewood Facility,Columbia,SC,"Blythewood Facility, Columbia, SC",Light-Duty (Class 1-2),EV manufacturing,TRUE
38.154537,-85.728374,Ford,Louisville Assembly Plant,Louisville,KY,"Louisville Assembly Plant, Louisville, KY",Light-Duty (Class 1-2),EV manufacturing,TRUE
40.518091,-88.995074,Rivian,Normal Factory,Normal,IL,"Normal Factory, Normal, IL",Multiple Classes,EV manufacturing,TRUE
