Name,Address,Latitude,Longitude,Phone,Email,Website,Website Label,Business Hours,Image URL,Description,Hyperlink,Hyperlink Label,Priority,Active
1st Summit Arena,,40.3229087,-78.9228308,,,,,,,,,,,TRUE
3M Arena at Mariucci,,44.9780504,-93.2281029,,,,,,,,,,,TRUE
Abbotsford Centre,,49.0307232,-122.2871077,,,,,,,,,,,TRUE
Acrisure Arena,,33.7784544,-116.3390586,,,,,,,,,,,TRUE
Addition Financial Arena,,28.6073937,-81.1974192,,,,,,,,,,,TRUE
Adirondack Bank Center,,43.1048996,-75.2334094,,,,,,,,,,,TRUE
Adventist Health Arena,,37.9560164,-121.2960148,,,,,,,,,,,TRUE
A.E. Wood Coliseum,,32.3351635,-90.3322238,,,,,,,,,,,TRUE
Agganis Arena,,42.352232913662,-71.1177098751068,,,,,,,,,,,TRUE
Air Canada Centre,,43.6433504,-79.3790531,,,,,,,,,,,TRUE
Alabama A&M Event Center,,34.7867327,-86.576002,,,,,,,,,,,TRUE
Alaska Airlines Arena,,47.6520728,-122.3022455,,,,,,,,,,,TRUE
Alaska Airlines Center,,61.1886392,-149.8141837,,,,,,,,,,,TRUE
Alex G. Spanos Center,,37.976697,-121.3151336,,,,,,,,,,,TRUE
Alfond Arena,,44.904531,-68.6736381,,,,,,,,,,,TRUE
Alico Arena,,26.4710724324877,-81.7647010087967,,,,,,,,,,,TRUE
Allen Arena,,36.1036984,-86.7989606,,,,,,,,,,,TRUE
Allen County War Memorial Coliseum,,41.1156172,-85.1241517,,,,,,,,,,,TRUE
Al Lawson Center,,30.4241881,-84.2905855,,,,,,,,,,,TRUE
Allen Fieldhouse,,38.9543363,-95.2528381,,,,,,,,,,,TRUE
Alliant Energy PowerHouse,,41.9800639,-91.6674861,,,,,,,,,,,TRUE
Allstate Arena,,42.0052204,-87.8878355,,,,,,,,,,,TRUE
Al McGuire Center,,43.0399086,-87.9266202,,,,,,,,,,,TRUE
Alumni Arena,,42.9998138137038,-78.7810921669006,,,,,,,,,,,TRUE
Alumni Hall,,38.9845657658528,-76.4879107475281,,,,,,,,,,,TRUE
Akins Ford Arena,,33.9611885,-83.3708887,,,,,,,,,,,TRUE
Amerant Bank Arena,,26.1584907,-80.3255403,,,,,,,,,,,TRUE
American Airlines Center,,32.7904854437124,-96.8103539943695,,,,,,,,,,,TRUE
AMSOIL Arena,,46.7804684050275,-92.0996975898743,,,,,,,,,,,TRUE
Anaheim Convention Center,,33.8022445,-117.9198152,,,,,,,,,,,TRUE
Angel of the Winds Arena,,47.9784246,-122.203331,,,,,,,,,,,TRUE
Appalachian Wireless Arena,,37.4777956,-82.5171787,,,,,,,,,,,TRUE
Arena-Auditorium,,41.3133543,-105.5693865,,,,,,,,,,,TRUE
Assembly Hall,,39.1809507162735,-86.5224409103394,,,,,,,,,,,TRUE
Athletics-Recreation Center,,41.4644325,-87.0483296,,,,,,,,,,,TRUE
Atlantic Union Bank Center,,38.4304798,-78.8595522,,,,,,,,,,,TRUE
Augusta Civic Center,,44.3424043276655,-69.7989106178284,,,,,,,,,,,TRUE
Avenir Centre,,46.0854935,-64.7849057,,,,,,,,,,,TRUE
Ball Arena,,39.7487077,-105.0076676,,,,,,,,,,,TRUE
Bank of Springfield Center,,39.8010604,-89.6444464,,,,,,,,,,,TRUE
Bank OZK Arena,,34.5096068,-93.0499614,,,,,,,,,,,TRUE
Baptist Health Arena,,37.7372843,-84.3013573,,,,,,,,,,,TRUE
Barclays Center,,40.6827290119536,-73.9755606651306,,,,,,,,,,,TRUE
Barnhill Arena,,36.0666583298427,-94.1779965162277,,,,,,,,,,,TRUE
Bartow Arena,,33.502021509423,-86.8092441558838,,,,,,,,,,,TRUE
Baxter Arena,,41.2362208,-96.0132766,,,,,,,,,,,TRUE
Beasley Coliseum,,46.7351989,-117.1580529,,,,,,,,,,,TRUE
Beeghly Center,,41.1082855,-80.6487948,,,,,,,,,,,TRUE
Belgrade Special Events Center,,45.7827585670373,-111.178658008575,,,,,,,,,,,TRUE
Bell Centre,,45.4960598,-73.569206,,,,,,,,,,,TRUE
Bell Place,,45.5558759,-73.7216038,,,,,,,,,,,TRUE
Belk Arena,,35.4992598,-80.8403849,,,,,,,,,,,TRUE
Benchmark International Arena,,27.9426448,-82.4517918,,,,,,,,,,,TRUE
Berglund Center,,37.2801782,-79.9358582,,,,,,,,,,,TRUE
Bernard G. Johnson Coliseum,,30.7128767615646,-95.5461323261261,,,,,,,,,,,TRUE
Berry Bowl,,40.7492213,-86.3311842,,,,,,,,,,,TRUE
Berry Center,,29.9048462,-95.6886113,,,,,,,,,,,TRUE
Berry Events Center,,46.5577537,-87.3926568,,,,,,,,,,,TRUE
