state,city,theatre,built,seats,address,latitude,longitude
AL,Bessemer,Lincoln Theatre,1948,400,"Lincoln Theatre, Bessemer, AL",33.405628,-86.961749
AL,Birmingham,Alabama Theatre,1927,2210,"Alabama Theatre, Birmingham, AL",33.5150932,-86.8091227
AL,Birmingham,Lyric Theatre,1914,750,"Lyric Theatre, Birmingham, AL",33.5151443,-86.809671
AL,Elba,Elba Theatre,1936,270,"Elba Theatre, Elba, AL",31.41453,-86.066991
AL,Montgomery,Capri Theatre,1941,385,"Capri Theatre, Montgomery, AL",32.349955804185,-86.319237641591
AL,Talladega,Historic Talladega Ritz Theatre,1935,550,"Historic Talladega Ritz Theatre, Talladega, AL",33.434936,-86.106204
AL,Tuscaloosa,Bama Theatre,1937,1080,"Bama Theatre, Tuscaloosa, AL",33.2086,-87.56815
AZ,Holbrook,Roxy Theater,1954,280,"Roxy Theater, Holbrook, AZ",34.9014861,-110.1600012
AZ,Kingman,Beale Street Theater,1948,NA,"Beale Street Theater, Kingman, AZ",35.1893,-114.0543
AZ,Phoenix,Celebrity Theatre,1963,2600,"Celebrity Theatre, Phoenix, AZ",33.4546579,-112.0147638
AZ,Phoenix,Orpheum Theatre,1929,1364,"Orpheum Theatre, Phoenix, AZ",33.4488,-112.0771
AZ,Tempe,ASU Gammage,1962,3000,"ASU Gammage, Tempe, AZ",33.4165501,-111.9377147
AZ,Tucson,The Rialto Theatre,1919,1240,"The Rialto Theatre, Tucson, AZ",32.221718,-110.9665
AZ,Yuma,Historic Yuma Theatre,NA,640,"Historic Yuma Theatre, Yuma, AZ",32.72349,-114.6189
AR,Rogers,Victory Theater,1927,260,"Victory Theater, Rogers, AR",15.8317708,78.0491934
CA,Auburn,Auburn State Theatre,1930,350,"Auburn State Theatre, Auburn, CA",38.898163,-121.071605
CA,Bakersfield,Nile Theater,1906,NA,"Nile Theater, Bakersfield, CA",35.3773883,-119.021451
CA,Bakersfield,The Historic Bakersfield Fox Theater,1930,1570,"The Historic Bakersfield Fox Theater, Bakersfield, CA",35.3773883,-119.021451
CA,Beverly Hills,Saban Theatre,1930,1910,"Saban Theatre, Beverly Hills, CA",34.0644,-118.3748
CA,Eureka,Eureka Theater,1939,800,"Eureka Theater, Eureka, CA",40.786143,-124.161309
CA,Fresno,Warnors Center for the Performing Arts,1926,2100,"Warnors Center for the Performing Arts, Fresno, CA",37.460946,-122.174985
CA,Hollywood,El Capitan Theatre,1926,1100,"El Capitan Theatre, Hollywood, CA",34.1014086,-118.3399361
CA,Hollywood,Hollywood Pantages Theatre,1930,2703,"Hollywood Pantages Theatre, Hollywood, CA",34.102238,-118.325788
CA,Lafayette,Park Theater,1941,344,"Park Theater, Lafayette, CA",37.890797,-122.127474
CA,Larkspur,Lark Theater,1940,220,"Lark Theater, Larkspur, CA",37.9370061,-122.5352123
CA,Lompoc,Lompoc Theater,1927,NA,"Lompoc Theater, Lompoc, CA",34.6397,-120.4575
CA,Los Angeles,The Orpheum Theatre,1926,2006,"The Orpheum Theatre, Los Angeles, CA",34.04269,-118.255464
CA,Modesto,State Theatre,1934,571,"State Theatre, Modesto, CA",37.6430931,-120.9974664
CA,Oakland,Paramount Theatre,1931,2992,"Paramount Theatre, Oakland, CA",37.80972,-122.26861
CA,Palm Springs,Plaza Theatre,1936,809,"Plaza Theatre, Palm Springs, CA",33.787531998841,-116.53191550473301
CA,Redding,Cascade Theatre,1935,1006,"Cascade Theatre, Redding, CA",40.581898,-122.389608
CA,Sacramento,Crest Theatre,1912,975,"Crest Theatre, Sacramento, CA",38.5792,-121.4933
CA,San Diego,Balboa Theatre,1924,1339,"Balboa Theatre, San Diego, CA",32.71433,-117.16136
CA,San Diego,Civic Theatre,1965,2967,"Civic Theatre, San Diego, CA",32.71752,-117.162396
CA,San Gabriel,San Gabriel Mission Playhouse,1927,1387,"San Gabriel Mission Playhouse, San Gabriel, CA",34.098369,-118.108394
CA,Santa Barbara,Granada Theatre,1924,1550,"Granada Theatre, Santa Barbara, CA",34.4240378,-119.7046128
CA,Santa Barbara,Lobero Theatre,1924,604,"Lobero Theatre, Santa Barbara, CA",34.421673,-119.7000212
CA,Sonoma,Sebastiani Theatre,1933,323,"Sebastiani Theatre, Sonoma, CA",38.292247,-122.456392
CA,Taft,Fox Theatre,1917,728,"Fox Theatre, Taft, CA",35.141442,-119.459617
CA,Visalia,Visalia Fox Theatre,1931,1280,"Visalia Fox Theatre, Visalia, CA",36.33041,-119.29489
CO,Aspen,Wheeler Opera House,1889,504,"Wheeler Opera House, Aspen, CO",39.18938,-106.82003
CO,Boulder,Macky Auditorium Concert Hall,1923,2052,"Macky Auditorium Concert Hall, Boulder, CO",40.010011,-105.272765
CO,Delta,Egyptian Theatre,1928,425,"Egyptian Theatre, Delta, CO",38.7407486,-108.0704325
CO,Denver,Elitch Gardens Theatre,1890,1400,"Elitch Gardens Theatre, Denver, CO",39.74933,-105.01282
CO,Florence,Rialto Theater,1923,640,"Rialto Theater, Florence, CO",38.390062,-105.120094
CO,Leadville,Tabor Opera House,1879,700,"Tabor Opera House, Leadville, CO",39.246748,-106.290742
CO,Ouray,The Wright Opera House,1888,200,"The Wright Opera House, Ouray, CO",38.021434,-107.671701
CO,Pueblo,Keating School,1927,550,"Keating School, Pueblo, CO",38.253072,-104.62586
CO,Telluride,Historic Sheridan Opera House,1913,700,"Historic Sheridan Opera House, Telluride, CO",37.937962,-107.812492
CT,Ivoryton,Ivoryton Playhouse,1911,274,"Ivoryton Playhouse, Ivoryton, CT",41.3487299,-72.4422225
CT,New Haven,Shubert Performing Arts Center,NA,NA,"Shubert Performing Arts Center, New Haven, CT",41.30649,-72.92816
CT,New London,Garde Arts Center,1926,1488,"Garde Arts Center, New London, CT",41.355494,-72.099015
CT,Putnam,Bradley Playhouse,1901,413,"Bradley Playhouse, Putnam, CT",41.9156498,-71.908834100000007
DE,Wilmington,The Grand Opera House,1871,1148,"The Grand Opera House, Wilmington, DE",39.74374,-75.54848
DE,Wilmington,The Playhouse on Rodney Square,1912,1252,"The Playhouse on Rodney Square, Wilmington, DE",39.745801,-75.548065
FL,Cocoa,The Historic Cocoa Village Playhouse,1924,525,"The Historic Cocoa Village Playhouse, Cocoa, FL",28.355316,-80.726112
FL,High Springs,Priest Theater,1910,240,"Priest Theater, High Springs, FL",29.8269901,-82.5968993
FL,Inverness,Valerie Theatre,1926,150,"Valerie Theatre, Inverness, FL",28.836388,-82.329826
FL,Jacksonville,Florida Theatre,1927,1900,"Florida Theatre, Jacksonville, FL",30.32628,-81.65565
FL,Jacksonville,Theatre Jacksonville,1928,250,"Theatre Jacksonville, Jacksonville, FL",30.363164,-81.60493
FL,Lakeland,Polk Theatre,1927,1400,"Polk Theatre, Lakeland, FL",28.043155,-81.957497
FL,Monticello,Monticello Opera House,1890,300,"Monticello Opera House, Monticello, FL",30.544995,-83.870811
FL,Port St. Joe,The Port Theatre,1938,NA,"The Port Theatre, Port St. Joe, FL",29.732148013884,-85.39212751919
FL,St. Pete Beach,The Beach Theatre,1939,NA,"The Beach Theatre, St. Pete Beach, FL",27.7753657,-82.6321724
FL,Tampa,Tampa Theatre,1926,1446,"Tampa Theatre, Tampa, FL",27.95035,-82.45893
FL,Zephyrhills,Home Theater on 5th,1948,500,"Home Theater on 5th, Zephyrhills, FL",28.236534,-82.179884
GA,Albany,Theatre Albany,1927,2000,"Theatre Albany, Albany, GA",31.578603,-84.158253
GA,Americus,Rylander Theatre,1919,630,"Rylander Theatre, Americus, GA",32.0718385,-84.2351711
GA,Athens,Morton Theatre,1910,500,"Morton Theatre, Athens, GA",33.958569,-83.378643
GA,Atlanta,Fox Theatre,1929,4518,"Fox Theatre, Atlanta, GA",33.772661,-84.3849468
GA,Augusta,Imperial Theatre,1917,855,"Imperial Theatre, Augusta, GA",33.475403,-81.964478
GA,Calhoun,GEM Theatre,1927,461,"GEM Theatre, Calhoun, GA",34.502547,-84.951288
GA,Columbus,Springer Opera House,1871,688,"Springer Opera House, Columbus, GA",32.46512,-84.99137
GA,Dahlonega,The Historic Holly Theatre,1946,322,"The Historic Holly Theatre, Dahlonega, GA",34.533691,-83.983274
GA,Dallas,Dallas Theater,1927,569,"Dallas Theater, Dallas, GA",33.92348,-84.84046
GA,Hogansville,Royal Theater,1937,NA,"Royal Theater, Hogansville, GA",33.173115,-84.91249
GA,Macon,The Douglass Theatre,1920,319,"The Douglass Theatre, Macon, GA",32.83544,-83.6258
GA,Marietta,The Earl & Rachel Smith Strand Theatre,1935,530,"The Earl & Rachel Smith Strand Theatre, Marietta, GA",33.953568,-84.549175
GA,Rome,DeSoto Theatre,1929,500,"DeSoto Theatre, Rome, GA",34.2559,-85.1693
