Ref#,Prefix,Property Name,State,County,City,Street & Number,Status,Request Type,Restricted Address,Acreage of Property,Area of Significance,Category of Property,External Link,Level of Significance - International,Level of Significance - National,Level of Significance - State,Level of Significance - Local,Level of Significance - Not Indicated,Listed Date,NHL Designated Date,Other Names,Park Name,Property ID
80000681,NA,Lyric Theatre,ALABAMA,Calhoun,Anniston,1302 Noble St.,Listed,Single,FALSE,0.9,ENTERTAINMENT/RECREATION,BUILDING,https://catalog.archives.gov/id/77835877,FALSE,FALSE,TRUE,FALSE,FALSE,5/22/80,NA,Ritz Theatre,NA,80000681
74002262,NA,Fort Payne Opera House,ALABAMA,De Kalb,Fort Payne,510 Gault Ave. N,Listed,Single,FALSE,0.2,SOCIAL HISTORY; PERFORMING ARTS,BUILDING,https://catalog.archives.gov/id/77836102,FALSE,FALSE,TRUE,FALSE,FALSE,4/28/70,NA,NA,NA,74002262
77000204,NA,Dothan Opera House,ALABAMA,Houston,Dothan,103 N. St. Andrews St.,Listed,Single,FALSE,0.2,ARCHITECTURE,BUILDING,https://catalog.archives.gov/id/77836216,FALSE,FALSE,TRUE,FALSE,FALSE,12/16/77,NA,NA,NA,77000204
79000386,NA,Alabama Theatre,ALABAMA,Jefferson,Birmingham,"1811 3rd Ave., N",Listed,Single,FALSE,0.4,ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,https://catalog.archives.gov/id/77836438,FALSE,FALSE,TRUE,FALSE,FALSE,11/13/79,NA,NA,NA,79000386
89000315,NA,Downtown Birmingham Retail and Theatre Historic District,ALABAMA,Jefferson,Birmingham,"Roughly bounded by 3rd Ave. North, 20th St. North, Morris Ave., and 17th St. North",Listed,Single,FALSE,39,COMMERCE; ARCHITECTURE; ENTERTAINMENT/RECREATION,district,https://catalog.archives.gov/id/77836464,FALSE,FALSE,FALSE,TRUE,FALSE,5/5/89,NA,See Also:79000386;81000126;85000918;85002718;83002971,NA,89000315
98000709,NA,Downtown Birmingham Retail and Theatre Historic District (Boundary Increase),ALABAMA,Jefferson,Birmingham,"1914, 1917, 1919, 1930 4th Ave.,N.",Listed,Single,FALSE,1.5,ARCHITECTURE,DISTRICT,https://catalog.archives.gov/id/77836466,FALSE,FALSE,FALSE,TRUE,FALSE,6/26/98,NA,See Also: Downtown Birmingham Retail and Theatre historic Di,NA,98000709
73000351,NA,Auburn Players Theater,ALABAMA,Lee,Auburn,College Ave. at Thach St.,Listed,Single,FALSE,0.9,ART; RELIGION; PERFORMING ARTS,BUILDING,https://catalog.archives.gov/id/77836644,FALSE,FALSE,TRUE,FALSE,FALSE,5/22/73,NA,Presbyterian Church,NA,73000351
86000914,NA,Cotaco Opera House,ALABAMA,Morgan,Decatur,115 Johnson St. SE,Listed,Single,FALSE,0.9,SOCIAL HISTORY,BUILDING,https://catalog.archives.gov/id/77837239,FALSE,FALSE,FALSE,TRUE,FALSE,4/29/86,NA,Masonic Building,NA,86000914
100012405,SG,Princess Theatre,ALABAMA,Morgan,Decatur,112 2nd Avenue NE,Listed,Single,FALSE,1.22,ARCHITECTURE; ETHNIC HERITAGE-BLACK; ENTERTAINMENT/RECREATION,building,NA,FALSE,FALSE,FALSE,TRUE,FALSE,12/18/25,NA,NA,NA,100012405
88003243,NA,Phillips Memorial Auditorium,ALABAMA,Perry,Marion,Lincoln Ave. and Lee St.,Listed,Single,FALSE,0.1,BLACK; EDUCATION; ARCHITECTURE,BUILDING,https://catalog.archives.gov/id/77837267,FALSE,FALSE,FALSE,TRUE,FALSE,2/13/90,NA,Lincoln Normal School,NA,88003243
100009125,RS,Federation of Southern Cooperatives Rural Training and Research Center,ALABAMA,Sumter,Epes,575 Federation Rd.,Listed,Resubmission,FALSE,70,AGRICULTURE; ETHNIC HERITAGE-BLACK; SOCIAL HISTORY,district,NA,FALSE,FALSE,FALSE,TRUE,FALSE,10/3/23,NA,The Training Center; RTRC,NA,100009125
84000746,NA,Bama Theatre-City Hall Building,ALABAMA,Tuscaloosa,Tuscaloosa,600 Greensboro Ave.,Listed,Single,FALSE,0.9,POLITICS/GOVERNMENT; ARCHITECTURE,BUILDING,https://catalog.archives.gov/id/77837489,FALSE,FALSE,FALSE,TRUE,FALSE,8/30/84,NA,Bama Theatre and Office Building,NA,84000746
05000457,NA,"Foster Auditorium, The University of Alabama",ALABAMA,Tuscaloosa,Tuscaloosa,Sixth Avenue,Listed,Single,FALSE,NA,NA,BUILDING,https://catalog.archives.gov/id/77835694,FALSE,TRUE,FALSE,FALSE,FALSE,4/5/05,4/5/05,NA,NA,05000457
87000841,NA,Adak Army Base and Adak Naval Operating Station,ALASKA,Aleutian Islands,Adak Station,"Roughly bounded by Cape Adagdak, Scabbard Bay, and Shagak Bay",Listed,Single,FALSE,46700,MILITARY,DISTRICT,https://catalog.archives.gov/id/75325287,FALSE,TRUE,FALSE,FALSE,FALSE,2/27/87,2/27/87,Adak Naval Station (Naval Air Station Adak),NA,87000841
85002733,NA,"Dutch Harbor Naval Operating Base and Fort Mears, U.S. Army",ALASKA,Aleutian Islands,Unalaska,Amaknak Island,Listed,Single,FALSE,1000,MILITARY,DISTRICT,https://catalog.archives.gov/id/75325285,FALSE,TRUE,FALSE,FALSE,FALSE,2/4/85,2/4/85,NA,NA,85002733
82001620,NA,Fourth Avenue Theatre (AHRS Site No. ANC-284),ALASKA,Anchorage,Anchorage,630 W. 4th Ave.,Listed,Single,FALSE,0.3,ART; ENTERTAINMENT/RECREATION; ARCHITECTURE; COMMUNICATIONS,BUILDING,https://catalog.archives.gov/id/75325368,FALSE,TRUE,FALSE,FALSE,FALSE,10/5/82,NA,The Lathrop Building;Lathrop's Showhouse,NA,82001620
90000878,NA,Lacey Street Theatre,ALASKA,Fairbanks North Star,Fairbanks,504 Second Ave.,Listed,Single,FALSE,0.9,ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,https://catalog.archives.gov/id/75325450,FALSE,FALSE,FALSE,TRUE,FALSE,6/14/90,NA,AHRS Site No. FAI-207,NA,90000878
85002731,NA,Kodiak Naval Operating Base and Forts Greely and Abercrombie,ALASKA,Kodiak Island,Kodiak,Address unknown,Listed,Single,FALSE,350,MILITARY,SITE,https://catalog.archives.gov/id/75325308,FALSE,TRUE,FALSE,FALSE,FALSE,2/4/85,2/4/85,US Coast Guard Support Center and Fort Abercrombie State His,NA,85002731
86003559,NA,Sitka Naval Operating Base and US Army Coastal Defenses,ALASKA,Sitka,Sitka,Japonski Island,Listed,Single,FALSE,510,MILITARY,DISTRICT,https://catalog.archives.gov/id/75325333,FALSE,TRUE,FALSE,FALSE,FALSE,8/11/86,8/11/86,Sitka;the Causeway;Mt. Edgecumbe School,NA,86003559
10000888,NA,Governor H. Rex Lee Auditorium,AMERICAN SAMOA,Western,Utulei,"Rte. 1, William McKinley Memorial HWY",Listed,Single,FALSE,1.7,PACIFIC-ISLANDER; POLITICS/GOVERNMENT; PERFORMING ARTS; ARCHITECTURE; SOCIAL HISTORY,BUILDING,https://catalog.archives.gov/id/131517763,FALSE,FALSE,TRUE,FALSE,FALSE,11/12/10,NA,Fale Laumei,NA,10000888
76000372,NA,Grand Theatre,ARIZONA,Cochise,Douglas,1139--1149 G. Ave.,Listed,Single,FALSE,0.1,ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,https://catalog.archives.gov/id/75609652,FALSE,FALSE,TRUE,FALSE,FALSE,7/30/76,NA,NA,NA,76000372
87001412,NA,Grand Canyon Park Operations Building,ARIZONA,Coconino,Grand Canyon National Park,Off West Rim Dr.,Listed,Single,FALSE,0.9,ARCHITECTURE,BUILDING,https://catalog.archives.gov/id/75609513,FALSE,TRUE,FALSE,FALSE,FALSE,5/28/87,5/28/87,Grand Canyon Ranger Office;See Also:Grand Canyon Village His,Grand Canyon,87001412
100003323,SG,Celebrity Theatre,ARIZONA,Maricopa,Phoenix,440 N 32nd St.,Listed,Single,FALSE,7,ENGINEERING,building,NA,FALSE,FALSE,FALSE,TRUE,FALSE,1/24/19,NA,HiwayHouse Convention Center; Phoenix Star Theatre,NA,100003323
89000168,NA,El Zaribah Shrine Auditorium,ARIZONA,Maricopa,Phoenix,1502 W. Washington St.,Listed,Single,FALSE,0.8,ARCHITECTURE; SOCIAL HISTORY,BUILDING,https://catalog.archives.gov/id/75610081,FALSE,FALSE,TRUE,FALSE,FALSE,3/9/89,NA,NA,NA,89000168
06000326,NA,Glendale High School Auditorium,ARIZONA,Maricopa,Glendale,6216 W. Myrtle Ave.,Listed,Single,FALSE,0.9,COMMUNITY PLANNING AND DEVELOPMENT,BUILDING,https://catalog.archives.gov/id/75610121,FALSE,FALSE,FALSE,TRUE,FALSE,5/2/06,NA,NA,NA,06000326
85002170,NA,Grady Gammage Memorial Auditorium,ARIZONA,Maricopa,Tempe,NE Corner of Mill and Apache,Listed,Multiple,FALSE,18,ARCHITECTURE,BUILDING,https://catalog.archives.gov/id/75608299,FALSE,FALSE,FALSE,TRUE,FALSE,9/11/85,NA,#140,NA,85002170
96000040,NA,Laveen School Auditorium,ARIZONA,Maricopa,Laveen,5001 W. Dobbins Rd.,Listed,Single,FALSE,0.9,TRANSPORTATION,BUILDING,https://catalog.archives.gov/id/75610250,FALSE,FALSE,FALSE,TRUE,FALSE,2/16/96,NA,"Building A,Laveen School",NA,96000040
85002067,NA,Orpheum Theater,ARIZONA,Maricopa,Phoenix,209 W. Adams,Listed,Multiple,FALSE,0.9,COMMERCE; PERFORMING ARTS,BUILDING,https://catalog.archives.gov/id/75608603,FALSE,FALSE,FALSE,TRUE,FALSE,9/4/85,NA,37-19,NA,85002067
90000823,NA,Webster Auditorium,ARIZONA,Maricopa,Phoenix,1201 N. Galvin Pkwy.,Listed,Single,FALSE,0.5,CONSERVATION; EDUCATION; SCIENCE,BUILDING,https://catalog.archives.gov/id/75610207,FALSE,TRUE,FALSE,FALSE,FALSE,6/14/90,NA,NA,NA,90000823
03000905,NA,Fox Theatre,ARIZONA,Pima,Tucson,17 W. Congress St.,Listed,Multiple,FALSE,0.8,ARCHITECTURE; COMMUNITY PLANNING AND DEVELOPMENT,BUILDING,https://catalog.archives.gov/id/75608944,FALSE,TRUE,FALSE,FALSE,FALSE,9/12/03,NA,NA,NA,03000905
03000909,NA,Rialto Theatre,ARIZONA,Pima,Tucson,318 E. Congress St.,Listed,Multiple,FALSE,0.9,COMMUNITY PLANNING AND DEVELOPMENT; ARCHITECTURE,BUILDING,https://catalog.archives.gov/id/75608946,FALSE,FALSE,FALSE,TRUE,FALSE,9/12/03,NA,NA,NA,03000909
