series_id,year,period,value,area_type_code,area_code,measure_code,seasonal,srd_code,area_text,measure_text
LAUCN010010000000003,2025,M13,0.024,F,CN0100100000000,03,U,01,"Autauga County, AL",unemployment rate
LAUCN010030000000003,2025,M13,0.025,F,CN0100300000000,03,U,01,"Baldwin County, AL",unemployment rate
LAUCN010050000000003,2025,M13,0.036000000000000004,F,CN0100500000000,03,U,01,"Barbour County, AL",unemployment rate
LAUCN010070000000003,2025,M13,0.027000000000000003,F,CN0100700000000,03,U,01,"Bibb County, AL",unemployment rate
LAUCN010090000000003,2025,M13,0.024,F,CN0100900000000,03,U,01,"Blount County, AL",unemployment rate
LAUCN010110000000003,2025,M13,0.034,F,CN0101100000000,03,U,01,"Bullock County, AL",unemployment rate
LAUCN010130000000003,2025,M13,0.035,F,CN0101300000000,03,U,01,"Butler County, AL",unemployment rate
LAUCN010150000000003,2025,M13,0.032,F,CN0101500000000,03,U,01,"Calhoun County, AL",unemployment rate
LAUCN010170000000003,2025,M13,0.026000000000000002,F,CN0101700000000,03,U,01,"Chambers County, AL",unemployment rate
LAUCN010190000000003,2025,M13,0.027999999999999997,F,CN0101900000000,03,U,01,"Cherokee County, AL",unemployment rate
LAUCN010210000000003,2025,M13,0.026000000000000002,F,CN0102100000000,03,U,01,"Chilton County, AL",unemployment rate
LAUCN010230000000003,2025,M13,0.042,F,CN0102300000000,03,U,01,"Choctaw County, AL",unemployment rate
LAUCN010250000000003,2025,M13,0.049,F,CN0102500000000,03,U,01,"Clarke County, AL",unemployment rate
LAUCN010270000000003,2025,M13,0.027999999999999997,F,CN0102700000000,03,U,01,"Clay County, AL",unemployment rate
LAUCN010290000000003,2025,M13,0.026000000000000002,F,CN0102900000000,03,U,01,"Cleburne County, AL",unemployment rate
LAUCN010310000000003,2025,M13,0.027000000000000003,F,CN0103100000000,03,U,01,"Coffee County, AL",unemployment rate
LAUCN010330000000003,2025,M13,0.032,F,CN0103300000000,03,U,01,"Colbert County, AL",unemployment rate
LAUCN010350000000003,2025,M13,0.040999999999999995,F,CN0103500000000,03,U,01,"Conecuh County, AL",unemployment rate
LAUCN010370000000003,2025,M13,0.03,F,CN0103700000000,03,U,01,"Coosa County, AL",unemployment rate
LAUCN010390000000003,2025,M13,0.028999999999999998,F,CN0103900000000,03,U,01,"Covington County, AL",unemployment rate
LAUCN010410000000003,2025,M13,0.03,F,CN0104100000000,03,U,01,"Crenshaw County, AL",unemployment rate
LAUCN010430000000003,2025,M13,0.025,F,CN0104300000000,03,U,01,"Cullman County, AL",unemployment rate
LAUCN010450000000003,2025,M13,0.032,F,CN0104500000000,03,U,01,"Dale County, AL",unemployment rate
