"","ref_number","prefix","property_name","state","county","city","street_number","status","request_type","restricted_address","acreage_of_property","area_of_significance","category_of_property","external_link","level_of_significance_international","level_of_significance_national","level_of_significance_state","level_of_significance_local","level_of_significance_not_indicated","listed_date","nhl_designated_date","other_names","park_name","property_id","district_name","address","latitude","longitude"
"1","01001174",NA,"Burdette School Complex Historic District","Arkansas","Mississippi","Burdette","153 E. Park Ln.","Listed","Single",FALSE,9,"Architecture; Education","District",NA,FALSE,FALSE,TRUE,FALSE,FALSE,2001-10-28,NA,NA,NA,"01001174","Burdette School Complex","Burdette School Complex Historic District, Mississippi, Arkansas",35.7639,-90.05417
"2","87001349",NA,"Hale Avenue Historic District","Arkansas","Mississippi","Osceola","Roughly bounded by Hale Ave., Poplar St., Ford Ave., and Walnut St.","Listed","Multiple",FALSE,1.5,"Commerce; Architecture","District",NA,FALSE,FALSE,FALSE,TRUE,FALSE,1987-09-14,NA,NA,NA,"87001349","Hale Avenue","Hale Avenue Historic District, Mississippi, Arkansas",35.7023,-89.96953
"3","03000863",NA,"Hale Avenue Historic District (Boundary Increase)","Arkansas","Mississippi","Osceola","Roughly 107-111 W. Hale Ave. and 101-109 N. Walnut St.","Listed","Multiple",FALSE,2,"Commerce","District",NA,FALSE,FALSE,FALSE,TRUE,FALSE,2003-09-02,NA,NA,NA,"03000863","Hale Avenue (Boundary Increase)","Hale Avenue Historic District (Boundary Increase), Mississippi, Arkansas",35.7023,-89.96953
"4","08000722",NA,"Hale Avenue Historic District Boundary Increase Ii","Arkansas","Mississippi","Osceola","100 and 200 blocks W. Hale Ave.; 100,200 blocks E. Hale Ave.; 100 block N. Poplar","Listed","Multiple",FALSE,3,"Architecture; Commerce; Social History; Community Planning And Development","District",NA,FALSE,FALSE,FALSE,TRUE,FALSE,2008-08-01,NA,NA,NA,"08000722","Hale Avenue Boundary Increase Ii","Hale Avenue Historic District Boundary Increase Ii, Mississippi, Arkansas",35.7023,-89.96953
"5","10000521",NA,"West Main Street Residential Historic District","Arkansas","Mississippi","Blytheville","W Main St between B and 6th St and Division","Listed","Single",FALSE,35,"Architecture; Community Planning And Development","District",NA,FALSE,FALSE,FALSE,TRUE,FALSE,2010-08-05,NA,"MS0410",NA,"10000521","West Main Street Residential","West Main Street Residential Historic District, Mississippi, Arkansas",35.674915079351,-90.09057596631
"6","06001325",NA,"Widner-Magers Farm Historic District","Arkansas","Mississippi","Dell","3398 AR N St. 181","Listed","Multiple",FALSE,1.3,"Agriculture; Architecture","District",NA,FALSE,FALSE,FALSE,TRUE,FALSE,2007-01-29,NA,"MS0301",NA,"06001325","Widner-Magers Farm","Widner-Magers Farm Historic District, Mississippi, Arkansas",35.7639,-90.05417
"7","16000651",NA,"Wilson Commercial Historic District","Arkansas","Mississippi","Wilson","Roughly bounded by Union Ave., S. Jefferson, Madison, Adams & 2nd Sts.","Listed","Single",FALSE,19.17,"Agriculture; Architecture; Commerce; Industry","District",NA,FALSE,FALSE,FALSE,TRUE,FALSE,2016-09-23,NA,NA,NA,"16000651","Wilson Commercial","Wilson Commercial Historic District, Mississippi, Arkansas",35.567021,-90.044024
"8","16000652",NA,"Wilson Residential Historic District","Arkansas","Mississippi","Wilson","4737, 4785, 4877 & 5101 US 61","Listed","Single",FALSE,83,NA,"District",NA,FALSE,FALSE,FALSE,TRUE,FALSE,2016-09-21,NA,NA,NA,"16000652","Wilson Residential","Wilson Residential Historic District, Mississippi, Arkansas",35.567021,-90.044024
"9","10000287",NA,"Fargo Training School Historic District","Arkansas","Monroe","Fargo","Floyd Brown Dr, E of M and A Rd","Listed","Single",FALSE,15,"Education; Black","District",NA,FALSE,FALSE,TRUE,FALSE,FALSE,2010-05-27,NA,NA,NA,"10000287","Fargo Training School","Fargo Training School Historic District, Monroe, Arkansas",33.6687,-94.13325
"10","79000446",NA,"Holly Grove Historic District","Arkansas","Monroe","Holly Grove","Main and Pine Sts.","Listed","Single",FALSE,10,"Commerce; Agriculture; Transportation","District",NA,FALSE,FALSE,FALSE,TRUE,FALSE,1979-02-02,NA,NA,NA,"79000446","Holly Grove","Holly Grove Historic District, Monroe, Arkansas",34.595387,-91.200482
