Announcement Date,Parent Company,Company,Facility Name,Phase,City,State,Manufacturing Focus,Component Category,EV/Battery Production,Announcement Effective Year,Existing Union?,Announced EV Investment,Announced EV Jobs,Congressional District,30D Eligible (Defunct),Federal Funding Received,Federal Program,Source
5/28/26,EVelution Energy,EVelution Energy,Cobalt Processing Facility,Update,Tacna,AZ,Medium-Duty (Class 3-6),Cobalt,Planned,2029,No Evidence,,,,No Evidence,,None,https://www.businesswire.com/news/home/20260528333529/en/EVelution-Energy-Receives-Letter-of-Interest-From-Finnvera-for-up-to-US%2470-Million-in-Export-Credit-Support-for-U.S.-Cobalt-Processing-Facility
5/22/26,Microporous,Microporous,Microporous Virginia Manufacturing Facility,Update,Danville,VA,Batteries,Separators,Under Construction,2027,No Evidence,"$125,000,000",-107,VA05,No Evidence,,Advanced Energy Manufacturing and Recycling Program,https://www.wsls.com/news/local/2026/05/22/microporous-groundbreaking-pittsylvania/
4/30/26,Rivian,Rivian,Georgia Manufacturing Plant,Update,Social Circle,GA,Light-Duty (Class 1-2),Vehicle Assembly,Under Construction,2028,No Evidence,"($1,567,000,000)",,GA10,Good Evidence,"($2,067,000,000)",Loan Programs Office (LPO),https://www.cnbc.com/2026/04/30/rivian-renegotiates-doe-loan-adjusts-capacity-plans-for-georgia-plant.html
4/23/26,Slate Auto,Slate Auto,Truck Manufacturing Facility,Update,Warsaw,IN,Light-Duty (Class 1-2),Vehicle Assembly,Under Construction,2026,No Evidence,"$287,000,000",,IN02,No Evidence,,None,https://www.wndu.com/2026/04/23/slate-auto-raises-650m-electric-truck-production-warsaw/
4/3/26,Cummins,Accelera,Amplify Battery Manufacturing Facility (JV),Update,Byhalia,MS,Batteries,Cells,Under Construction,2026,No Evidence,,-22,,No Evidence,$0,None,https://wreg.com/news/local/byhalia-vehicle-battery-manufacturer-laying-off-73-workers/
4/3/26,Daimler Truck,Daimler Truck,Amplify Battery Manufacturing Facility (JV),Update,Byhalia,MS,Batteries,Cells,Under Construction,2026,No Evidence,,-22,,No Evidence,$0,None,https://wreg.com/news/local/byhalia-vehicle-battery-manufacturer-laying-off-73-workers/
4/3/26,EVE Energy,EVE Energy,Amplify Battery Manufacturing Facility (JV),Update,Byhalia,MS,Batteries,Cells,Under Construction,2026,No Evidence,,-7,,No Evidence,$0,None,https://wreg.com/news/local/byhalia-vehicle-battery-manufacturer-laying-off-73-workers/
4/3/26,Paccar,Paccar,Amplify Battery Manufacturing Facility (JV),Update,Byhalia,MS,Batteries,Cells,Under Construction,2026,No Evidence,,-22,,No Evidence,$0,None,https://wreg.com/news/local/byhalia-vehicle-battery-manufacturer-laying-off-73-workers/
4/3/26,Tesla,Tesla,Gigafactory 5,Update,Austin,TX,Multiple Classes,Vehicle Assembly,Operational,2026,No Evidence,"$600,000,000",-806,TX35,Good Evidence,$0,None,https://techcrunch.com/2026/04/03/teslas-texas-factory-workforce-reportedly-shrunk-22-in-2025/
3/29/26,EnergyX,EnergyX,Project Lonestar Lithium,Original,Hooks,TX,Minerals,Lithium Hydroxide,Planned,,No Evidence,"$525,000,000",,,No Evidence,,None,https://www.mining.com/site-visit-energyx-launches-first-us-direct-lithium-extraction-plant-in-texas/
