"Company","City","State","County","Latitude","Longitude"
"Voya ","New York","New York","New York",40.7127753,-74.0059728
"Adobe","San Jose","California","Santa Clara",37.3382082,-121.8863286
"Walt Disney","Burbank","California","Los Angeles",34.1808392,-118.3089661
"Glenworth Financial","Richmond","Virginia",NA,37.5407246,-77.4360481
"Expeditors","Seattle","Washington","King",47.605838,-122.334683
"Dana Incorporated",NA,"Ohio","Lucas",41.574963,-83.6842561
"Jefferies Financial Group","New York","New York","New York",40.760264,-73.9745164
"Wesco International Inc","Pittsburgh","Pennsylvania","Allegheny",40.4337234,-80.0057853
"Huntington Ingalls Industries","Newport News","Virginia",NA,36.9882362,-76.4371783
"Amphenol",NA,"Connecticut","South Central Connecticut Planning Region",41.4570108,-72.8230736
"United Rentals","Stamford","Connecticut","Western Connecticut Planning Region",41.0406771,-73.5572187
"Assurant","New York","New York","New York",40.7077916,-74.0089405
"Alaska Air Group","Seattle","Washington","King",47.6062095,-122.3320708
"SpartanNash Company","Byron Township","Michigan","Kent",42.825551,-85.684614
"Darden Restaurants",NA,"Florida","Orange",28.4180207,-81.4248443
"THOR INDUSTRIES","Elkhart","Indiana","Elkhart",41.6819935,-85.9766671
"EMCOR Norwalk","Norwalk","Connecticut","Western Connecticut Planning Region",41.1493739,-73.4269254
"Masco Corp",NA,"Michigan","Wayne",42.36837,-83.3527097
"Caesars Entertainment","Las Vegas","Nevada","Clark",36.1165658,-115.1752403
"JetBlue Airways Corporation","New York","New York","Queens",40.7509337,-73.9385978
"WEC Energy Group","Milwaukee","Wisconsin","Milwaukee",43.0370226,-87.9138533
"W. R. Berkley Corporation",NA,"Connecticut","Western Connecticut Planning Region",41.018681,-73.6223224
"EnLink Midstream","Dallas","Texas","Dallas",32.7920752,-96.7951114
"Anixter Glenview",NA,"Illinois","Cook",42.0974698,-87.8239375
"Osh Kosh","Oshkosh","Wisconsin","Winnebago",44.0247062,-88.5426136
"Builders FirstSource","Dallas","Texas","Dallas",32.78536,-96.796337
"Ryder System","Miami","Florida","Miami-Dade",25.7616798,-80.1917902
"Dean Foods Company","Dallas","Texas","Dallas",32.8055096,-96.7923794
"PPL","Allentown","Pennsylvania","Lehigh",40.6081366,-75.5704494
"Yum China Holdings","Plano","Texas","Collin",33.0198431,-96.6988856
"Hershey","Derry Township","Pennsylvania","Dauphin",40.2859239,-76.6502468
"Alliance Data Systems","Plano","Texas","Collin",33.0198431,-96.6988856
"Berry Global","Evansville","Indiana","Vanderburgh",37.9789909,-87.5726435
"Fidelity National Information Services","Jacksonville","Florida","Duval",30.3321838,-81.655651
"Tractor Supply Company  Brentwood",NA,"Tennessee","Williamson",36.0322969,-86.8128372
"Zimmer Biomet Warsaw",NA,"Indiana","Kosciusko",41.2405012,-85.8838898
"Conagra Brands","Chicago","Illinois","Cook",41.8781136,-87.6297982
"Foot Locker","New York","New York","New York",40.7551834,-73.9863177
"Dick’s Sporting Goods",NA,"Pennsylvania","Allegheny",40.5184013,-80.1667247
"Fifth Third Bank","Cincinnati","Ohio","Hamilton",39.1669811,-84.4114303
"Eversource",NA,"Massachusetts","Norfolk",42.2029952,-71.1596834
"Cheniere Energy Inc","Houston","Texas","Harris",29.7601536,-95.3653756
"National Oilwell Varco",NA,"Texas","Williamson",30.4899915,-97.8276561
"Auto-Owners Insurance","Lansing","Michigan","Eaton",42.7218607,-84.6384575
"Erie Insurance Arena","Erie","Pennsylvania","Erie",42.1280011,-80.0808889
"Jones Financial (Edward Jones)",NA,"Missouri","St. Louis",38.6008862,-90.4328968
"Liberty Media Corporation",NA,"Colorado","Douglas",39.553121,-104.846177
"Frontier Communications","Norwalk","Connecticut","Western Connecticut Planning Region",41.117744,-73.4081575
"Levi's Store","San Francisco","California",NA,37.7852456,-122.4061345
"J.B. Hunt Transport Services",NA,"Arkansas","Benton",36.2447313,-94.1494438
"Peabody Energy","Saint Louis","Missouri",NA,38.626689,-90.1925651
"Western Union","Denver","Colorado",NA,39.7402176,-104.9759495
"UNIVAR",NA,"Illinois","DuPage",41.8089191,-88.0111746
"WESTLAKE CHEMICAL","Houston","Texas","Harris",29.7604267,-95.3698028
"Thrivent Financial for Lutherans","Minneapolis","Minnesota","Hennepin",44.977753,-93.2650108
"Rockwell Collins","West Palm Beach","Florida","Palm Beach",26.7153424,-80.0533746
"Campbell Soup Company","Camden","New Jersey","Camden",39.9390315,-75.1080212
"WILLIAMS","Tulsa","Oklahoma","Tulsa",36.1539816,-95.992775
"Veritiv Corporation",NA,"Georgia","Gwinnett",33.929775,-84.2512483
"GameStop",NA,"Texas","Tarrant",32.9342919,-97.0780654
"Navient","Wilmington","Delaware","New Castle",39.7382681,-75.559152
"Simon Property Group","Indianapolis","Indiana","Marion",39.7669989,-86.1621681
"Williams-Sonoma","San Francisco","California",NA,37.7886383,-122.4074984
"Yum Brands","Louisville","Kentucky","Jefferson",38.2526647,-85.7584557
"Windstream Holdings Little Rock","Little Rock","Arkansas","Pulaski",34.7464809,-92.2895948
"Hilton Worldwide Holdings",NA,"Virginia","Fairfax",38.9338676,-77.1772604
"Harley-Davidson Museum","Milwaukee","Wisconsin","Milwaukee",43.0316706,-87.9165244
"First American Financial","Santa Ana","California","Orange",33.702007,-117.860141
"Air Products & Chemicals","Allentown","Pennsylvania","Lehigh",40.6022939,-75.4714098
"TreeHouse Foods",NA,"Illinois","DuPage",41.8494532,-87.9473067
