"Company","City","State","County","Latitude","Longitude","Q4.2025.Median.Home.Price"
"Voya ","New York","New York","New York",40.7127753,-74.0059728,1172110
"Adobe","San Jose","California","Santa Clara",37.3382082,-121.8863286,1558540
"Walt Disney","Burbank","California","Los Angeles",34.1808392,-118.3089661,883230
"Glenworth Financial","Richmond","Virginia",NA,37.5407246,-77.4360481,NA
"Expeditors","Seattle","Washington","King",47.605838,-122.334683,903970
"Dana Incorporated",NA,"Ohio","Lucas",41.574963,-83.6842561,182700
"Jefferies Financial Group","New York","New York","New York",40.760264,-73.9745164,1172110
"Wesco International Inc","Pittsburgh","Pennsylvania","Allegheny",40.4337234,-80.0057853,254090
"Huntington Ingalls Industries","Newport News","Virginia",NA,36.9882362,-76.4371783,NA
"Amphenol",NA,"Connecticut","South Central Connecticut Planning Region",41.4570108,-72.8230736,NA
"United Rentals","Stamford","Connecticut","Western Connecticut Planning Region",41.0406771,-73.5572187,NA
"Assurant","New York","New York","New York",40.7077916,-74.0089405,1172110
"Alaska Air Group","Seattle","Washington","King",47.6062095,-122.3320708,903970
"SpartanNash Company","Byron Township","Michigan","Kent",42.825551,-85.684614,343290
"Darden Restaurants",NA,"Florida","Orange",28.4180207,-81.4248443,431320
"THOR INDUSTRIES","Elkhart","Indiana","Elkhart",41.6819935,-85.9766671,251910
"EMCOR Norwalk","Norwalk","Connecticut","Western Connecticut Planning Region",41.1493739,-73.4269254,NA
"Masco Corp",NA,"Michigan","Wayne",42.36837,-83.3527097,206910
"Caesars Entertainment","Las Vegas","Nevada","Clark",36.1165658,-115.1752403,457490
"JetBlue Airways Corporation","New York","New York","Queens",40.7509337,-73.9385978,763630
"WEC Energy Group","Milwaukee","Wisconsin","Milwaukee",43.0370226,-87.9138533,270080
"W. R. Berkley Corporation",NA,"Connecticut","Western Connecticut Planning Region",41.018681,-73.6223224,NA
"EnLink Midstream","Dallas","Texas","Dallas",32.7920752,-96.7951114,329370
"Anixter Glenview",NA,"Illinois","Cook",42.0974698,-87.8239375,357630
"Osh Kosh","Oshkosh","Wisconsin","Winnebago",44.0247062,-88.5426136,268680
"Builders FirstSource","Dallas","Texas","Dallas",32.78536,-96.796337,329370
"Ryder System","Miami","Florida","Miami-Dade",25.7616798,-80.1917902,555610
"Dean Foods Company","Dallas","Texas","Dallas",32.8055096,-96.7923794,329370
"PPL","Allentown","Pennsylvania","Lehigh",40.6081366,-75.5704494,354850
"Yum China Holdings","Plano","Texas","Collin",33.0198431,-96.6988856,541940
"Hershey","Derry Township","Pennsylvania","Dauphin",40.2859239,-76.6502468,275820
