Post number,Subject,Body,Attachment link,Location,Latitude,Longitude,Post color,Created At (UTC),Updated At (UTC)
1,363. Voya ,"New York, NY, USA
",http://www.voya.com/,"New York, NY, USA",40.7127753,-74.0059728,White,"Sep 20, 2019 08:17am","Sep 20, 2019 08:17am"
2,64. Adobe,"San Jose, CA, USA
",http://www.adobe.com/,"San Jose, CA, USA",37.3382082,-121.88632860000001,White,"Sep 20, 2019 08:09am","Sep 26, 2023 11:23pm"
3,"53. Walt Disney, Burbank, CA, USA","",http://www.thewaltdisneycompany.com/,"Burbank, CA, USA",34.1808392,-118.30896610000002,White,"Sep 20, 2019 06:57am","Sep 20, 2019 06:57am"
4,360. Glenworth Financial,"Richmond, VA, USA
",https://www.genworth.com/,"Richmond, VA, USA",37.5407246,-77.4360481,White,"Sep 20, 2019 12:54am","Sep 26, 2023 11:22pm"
5,"374. Expeditors, 3rd Avenue, Seattle, WA, USA","",http://www.expeditors.com/,"Expeditors, 3rd Avenue, Seattle, WA, USA",47.60583800000001,-122.33468299999998,White,"Sep 16, 2019 09:25am","Sep 23, 2025 08:47am"
6,"373. Dana Incorporated, Longbow Drive, Maumee, OH, USA","",http://www.dana.com/,"Dana Incorporated, Longbow Drive, Maumee, OH, USA",41.574963,-83.68425609999997,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
7,"372. Jefferies Financial Group, Madison Avenue, New York, NY, USA","",http://www.jefferies.com/,"Jefferies Financial Group, Madison Avenue, New York, NY, USA",40.760264,-73.97451639999997,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
8,"370. Wesco International Inc, West Station Square Drive, Pittsburgh, PA, USA","",http://www.wesco.com/,"Wesco International Inc, West Station Square Drive, Pittsburgh, PA, USA",40.4337234,-80.00578530000001,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
9,"371. Huntington Ingalls Industries, Washington Avenue, Newport News, VA, USA","",http://www.huntingtoningalls.com/,"Huntington Ingalls Industries, Washington Avenue, Newport News, VA, USA",36.9882362,-76.43717830000003,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
10,369. Amphenol,"Wallingford, Conn, USA
",http://www.amphenol.com/,"Wallingford, Conn, USA",41.4570108,-72.82307359999999,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
11,"379. United Rentals,Stamford, CT, USA","",https://en.wikipedia.org/wiki/United_Rentals,"United Rentals, Selleck Street, Stamford, CT, USA",41.04067709999999,-73.55721870000002,White,"Sep 16, 2019 09:25am","Sep 26, 2023 11:21pm"
12,"378. Assurant, New York, NY, USA","",http://www.assurant.com/,"Assurant, New York, NY, USA",40.70779160000001,-74.0089405,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
13,368. Alaska Air Group,"Seattle, Wash, USA
",http://www.alaskaair.com/,"Seattle, Wash, USA",47.6062095,-122.3320708,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
14,"377. SpartanNash Company,  Byron Center, MI, USA","",http://www.spartannash.com/,"SpartanNash Company, 76th Street Southwest, Byron Center, MI, USA",42.825551,-85.68461400000001,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
15,"376. Darden Restaurants, Darden Center Drive, Orlando, FL, USA","",http://www.darden.com/,"Darden Restaurants, Darden Center Drive, Orlando, FL, USA",28.4180207,-81.42484430000002,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
16,367. THOR INDUSTRIES,"Elkhart, Ind, USA
",http://www.thorindustries.com/,"Elkhart, Ind, USA",41.6819935,-85.97666709999999,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
17,"375. EMCOR Norwalk, Connecticut, USA","",http://www.emcorgroup.com/,"EMCOR Group, Merritt 7, Norwalk, Connecticut, USA",41.14937389999999,-73.42692540000002,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
18,366. Masco Corp,"Livonia, Mich, USA
",http://www.masco.com/,"Livonia, Mich, USA",42.36837,-83.35270969999999,White,"Sep 16, 2019 09:25am","Sep 20, 2019 12:20am"
19,"365. Caesars Entertainment, Caesars Palace Drive, Las Vegas, NV, USA","",http://www.caesars.com/,"Caesars Entertainment, Caesars Palace Drive, Las Vegas, NV, USA",36.1165658,-115.17524029999998,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
20,"399. JetBlue Airways Corporation, Queens Plaza North, Long Island City, NY, USA","",http://www.jetblue.com/,"JetBlue Airways Corporation, Queens Plaza North, Long Island City, NY, USA",40.7509337,-73.93859780000003,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
