"Electric.Power.Plant.Name","Operating.Utility.Name","City","State","Primary.Energy.Source","Maximum.Summer.Capacity..Megawatts.","Longitude","Latitude"
"Tower","Wolverine Power Supply Coop","Tower","Michigan","petroleum",19.3,-84.29497,45.36282
"Caro","Thumb Electric Coop of Mich","Caro","Michigan","petroleum",8.5,-83.3278,43.4659
"Ubly","Thumb Electric Coop of Mich","Ubly","Michigan","petroleum",12.3,-82.9388,43.7217
"George Johnson","Wolverine Power Supply Coop","Hersey","Michigan","natural gas",49.7,-85.426,43.8393
"Claude Vandyke","Wolverine Power Supply Coop","Dorr","Michigan","natural gas",20.2,-85.8551,42.731
"Vestaburg","Wolverine Power Supply Coop","Vestaburg","Michigan","natural gas",18.5,-84.9141,43.4016
"Syl Laskin","ALLETE, Inc.","Hoyt Lakes","Minnesota","natural gas",98,-92.1619,47.5306
"Blanchard","ALLETE, Inc.","Royalton","Minnesota","hydroelectric",16.2,-94.3592,45.8614
"Clay Boswell","ALLETE, Inc.","Cohasset","Minnesota","coal",937.8,-93.6528,47.2611
"Fond Du Lac","ALLETE, Inc.","Duluth","Minnesota","hydroelectric",13.1,-92.293897,46.666768
"Knife Falls","ALLETE, Inc.","Cloquet","Minnesota","hydroelectric",2.3,-92.448619,46.726627
"Little Falls (MN)","ALLETE, Inc.","Little Falls","Minnesota","hydroelectric",5.1,-94.369094,45.975013
"M L Hibbard","ALLETE, Inc.","Duluth","Minnesota","biomass",60,-92.151711,46.735331
"Pillager","ALLETE, Inc.","Pillager","Minnesota","hydroelectric",1.7,-94.484944,46.316033
"Scanlon","ALLETE, Inc.","Scanlon","Minnesota","hydroelectric",1.6,-92.421733,46.709126
"Sylvan","ALLETE, Inc.","Pillager","Minnesota","hydroelectric",1.8,-94.3775,46.305
"Thomson","ALLETE, Inc.","Carlton","Minnesota","hydroelectric",76.2,-92.3333,46.655
"Winton","ALLETE, Inc.","Winton","Minnesota","hydroelectric",4.1,-91.7639,47.9344
"Black Dog","Northern States Power Co - Minnesota","Burnsville","Minnesota","natural gas",491,-93.2501,44.8108
"Hennepin Island","Northern States Power Co - Minnesota","Minneapolis","Minnesota","hydroelectric",6.1,-93.254163,44.982359
"High Bridge","Northern States Power Co - Minnesota","St. Paul","Minnesota","natural gas",530,-93.1117,44.9314
"Inver Hills","Northern States Power Co - Minnesota","Inver Grove Heights","Minnesota","natural gas",285.6,-93.042,44.781
"Allen S King","Northern States Power Co - Minnesota","Oak Park Heights","Minnesota","coal",511,-92.7786,45.03
"Monticello Nuclear Facility","Northern States Power Co - Minnesota","Monticello","Minnesota","nuclear",617,-93.8493,45.3338
"Prairie Island","Northern States Power Co - Minnesota","Welch","Minnesota","nuclear",1040,-92.6333,44.622
"Red Wing","Northern States Power Co - Minnesota","Red Wing","Minnesota","biomass",18,-92.516912,44.5692
"Riverside (MN)","Northern States Power Co - Minnesota","Minneapolis","Minnesota","natural gas",454,-93.2753,45.0203
"St James","City of St James - (MN)","St James","Minnesota","petroleum",12,-94.61564,43.988158
"Wilmarth","Northern States Power Co - Minnesota","Mankato","Minnesota","biomass",18,-94.0009,44.1967
"Hoot Lake","Otter Tail Power Co","Fergus Falls","Minnesota","hydroelectric",0.8,-96.043252,46.290641
"Adrian","Adrian Public Utilities Comm","Adrian","Minnesota","petroleum",2,-95.932794,43.63711
"Alexandria","City of Alexandria - (MN)","Alexandria","Minnesota","petroleum",8.2,-95.379722,45.889167
"Benson City of","City of Benson - (MN)","Benson","Minnesota","petroleum",9,-95.602777,45.314444
"Blooming Prairie","City of Blooming Prairie - (MN)","Blooming Prairie","Minnesota","petroleum",8.3,-93.0504,43.866
"Blue Earth","Blue Earth Light & Water","Blue Earth","Minnesota","petroleum",11,-94.101667,43.6375
"Delano","Delano Municipal Utilities","Delano","Minnesota","petroleum",25.5,-93.790522,45.041378
"Detroit Lakes","City of Detroit Lakes - (MN)","Detroit Lakes","Minnesota","petroleum",9.6,-95.843333,46.8175
"Fairfax","City of Fairfax - (MN)","Fairfax","Minnesota","petroleum",1.9,-94.718812,44.525887
"Fairmont (MN)","Southern Minnesota Mun P Agny","Fairmont","Minnesota","natural gas",38,-94.4647,43.6579
"Glencoe","Glencoe Light & Power Comm","Glencoe","Minnesota","petroleum",35.7,-94.1582,44.7709
"Grand Marais","City of Grand Marais - (MN)","Grand Marais","Minnesota","petroleum",6.1,-90.357222,47.750278
"Granite Falls","City of Granite Falls - (MN)","Granite Falls","Minnesota","hydroelectric",1.1,-95.53455,44.811685
"Hibbing","Hibbing Public Utilities Comm","Hibbing","Minnesota","natural gas",32.1,-92.935,47.4294
"Hutchinson Plant #1","Hutchinson Utilities Comm","Hutchinson","Minnesota","natural gas",28.9,-94.368433,44.895741
"Janesville","City of Janesville - (MN)","Janesville","Minnesota","petroleum",4.3,-93.7073,44.1172
