Name,Street Address,City,State,PostalCode,Latitude,Longitude
Hancock Historical Society & Museum,306 Walnut St,Carthage,IL,62321,40.415146,-91.13942
The Gwynn's Island Museum,1775 Old Ferry Rd,Gwynn,VA,23066,37.50038,-76.28104
Siuslaw Pioneer Museum,278 Maple St,Florence,OR,97439,43.968193,-124.105965
Jacobus Vanderveer House & Museum,3055 E River Rd,Bedminster,NJ,07921,40.66149,-74.6486
Spurlock Museum,600 S Gregory St,Urbana,IL,61801,40.107513,-88.221375
National Motor Museum Mint,22 S Smith St,Norwalk,CT,06855,41.104187,-73.41098
La Casita House Museum,1804 E 9th Ave,Tampa,FL,33605,27.961832,-82.43862
New York Transit Museum,89 E 42nd St,New York,NY,10017,40.752304,-73.977715
Edventure Children's Museum,211 Gervais St,Columbia,SC,29201,33.997086,-81.04765
Canyon Life Museum,143 NE Wall St,Mill City,OR,97360,44.755245,-122.475235
Crockett Historical Museum,900 Loring Ave,Crockett,CA,94525,38.05597,-122.22024
Coates Heritage Museum,111 E Main St,Elkland,PA,16920,41.986496,-77.311874
Clermont Historic Village Museum,490 West Ave,Clermont,FL,34711,28.557339,-81.77051
Newcomerstown Museums,221 W Canal St,Newcomerstown,OH,43832,40.274696,-81.60802
Yorba Linda Heritage Museum,5700 Susanna Bryant Dr,Yorba Linda,CA,92887,33.875473,-117.70869
Josh Uncle Museum Inc,4700 SW 75th Ave,Miami,FL,33155,25.726067,-80.316986
Kansas Museum of Military Hist,135 S US Highway 77,Augusta,KS,67010,37.67936,-96.98025
Museum of Vertebrate Zoology,3101 Valley Life Sciences Bldg,Berkeley,CA,94720,37.870827,-122.262596
Ozark Heritage Museum,701 S Main St,Salem,MO,65560,37.63862,-91.53558
National Watch and Clock Museum,514 Poplar St,Columbia,PA,17512,40.037075,-76.50259
Pettigrew Home and Museum,131 N Duluth Ave,Sioux Falls,SD,57104,43.547764,-96.7344
International Cinema Museum,319 W Erie St,Chicago,IL,60654,41.893837,-87.63675
Hi Desert Nature Museum,58116 29 Palms Hwy,Yucca Valley,CA,92284,34.1286,-116.39568
Wheeler/Stallard Museum,620 W Bleeker St,Aspen,CO,81611,39.19369,-106.82875
Birks Museum,184 W Main St,Decatur,IL,62523,39.84154,-88.95693
Postermuseum.Com,122 Chambers St,New York,NY,10007,40.7152,-74.008865
Erie Canal Museum,318 Erie Blvd E,Syracuse,NY,13202,43.05075,-76.149574
Museum of Shadows,1110 Douglas St,Omaha,NE,68102,41.258743,-95.93078
Kempf House Museum,312 S Division St,Ann Arbor,MI,48104,42.278996,-83.74424
Winters Heritage House Museum,41 E High St,Middletown,PA,17057,40.20139,-76.73122
Wilheim Reich Museum,19 Orgonon Cir,Rangeley,ME,04970,44.98267,-70.714966
Old Cowtown Museum,1865 W Museum Blvd,Wichita,KS,67203,37.69441,-97.36164
Martha's Vineyard Museum,151 Lagoon Pond Rd,Vineyard Haven,MA,02568,41.44978,-70.59905
Hardin County Historical Museum,223 N Main St,Kenton,OH,43326,40.650005,-83.608025
Monmouth Museum,765 Newman Springs Rd,Lincroft,NJ,07738,40.331814,-74.13127
Tri-State Warbird Museum,4021 Borman Dr,Batavia,OH,45103,39.0785,-84.213165
Door County Maritime Museum,12724 W Wisconsin Bay Rd,Ellison Bay,WI,54210,45.29198,-87.02136
Morrill Hall-Unl State Museum,645 N 14th St,Lincoln,NE,68588,40.820133,-96.701454
Kearney County Historical Museum,2036 Q Rd,Heartwell,NE,68945,40.568035,-98.81233
