museum_url,category,museum_name,street_address,state,country,full_address,website_link,latitude,longitude
https://whichmuseum.com/museum/fort-stevens-state-park-warrenton-13187,History & Anthropology,Fort Stevens State Park,Peter Iredale Road 1675,Oregon,United States,"Peter Iredale Road 1675, Oregon, United States",https://stateparks.oregon.gov/index.cfm?do=park.profile&parkId=129,46.1799755,-123.9701172
https://whichmuseum.com/museum/fruitlands-museum-the-trustees-of-reservations-harvard-13845,History & Anthropology,Fruitlands Museum - The Trustees of Reservations,Prospect Hill Road 102,Massachusetts,United States,"Prospect Hill Road 102, Massachusetts, United States",https://thetrustees.org/place/fruitlands-museum/,42.5055706,-71.6128298
https://whichmuseum.com/museum/national-september-11-memorial-museum-new-york-9273,Specialized & Alternative,National September 11 Memorial & Museum,Greenwich Street 180,New York,United States,"Greenwich Street 180, New York, United States",https://www.911memorial.org/,40.7113675,-74.0132704
https://whichmuseum.com/museum/empire-state-building-new-york-21191,Specialized & Alternative,Empire State Building,20 West 34th Street,New York,United States,"20 West 34th Street, New York, United States",https://www.esbnyc.com/,40.7486538,-73.9853043
https://whichmuseum.com/museum/national-museum-of-american-history-washington-d-c-9202,History & Anthropology,National Museum of American History,1400 Constitution Ave. NW,Washington DC,United States,"1400 Constitution Ave. NW, Washington DC, United States",http://americanhistory.si.edu/,38.891067,-77.032704
https://whichmuseum.com/museum/san-diego-zoo-safari-park-21187,Nature & Natural History,San Diego Zoo Safari Park,",San Pasqual Valley Road",California,United States,",San Pasqual Valley Road, California, United States",https://sandiegozoowildlifealliance.org/,33.0946885,-116.9584152
https://whichmuseum.com/museum/ellis-island-national-museum-of-immigration-jersey-city-11544,History & Anthropology,Ellis Island National Museum of Immigration,Ellis Island Bridge,New Jersey,United States,"Ellis Island Bridge, New Jersey, United States",https://www.nps.gov/elis/index.htm,40.7014779,-74.0431943
https://whichmuseum.com/museum/the-dali-museum-saint-petersburg-48477,NA,The Dalí Museum,1 Dali Blvd,Florida,United States,"1 Dali Blvd, Florida, United States",https://thedali.org/,27.7659874,-82.6314611
https://whichmuseum.com/museum/milwaukee-county-zoo-9546,Nature & Natural History,Milwaukee County Zoo,W. Bluemound Rd. Milwaukee,Wisconsin,United States,"W. Bluemound Rd. Milwaukee, Wisconsin, United States",http://www.milwaukeezoo.org,43.0368252,-87.9758944
https://whichmuseum.com/museum/national-museum-of-african-american-history-and-culture-washington-d-c-9209,History & Anthropology,National Museum of African American History and Culture,Constitution Avenue Northwest 1400,Washington DC,United States,"Constitution Avenue Northwest 1400, Washington DC, United States",http://nmaahc.si.edu/,38.891067,-77.032704
https://whichmuseum.com/museum/american-museum-of-natural-history-new-york-9274,Nature & Natural History,American Museum of Natural History,Central Park West 180,New York,United States,"Central Park West 180, New York, United States",http://www.amnh.org/,40.779168,-73.9739233
