name,institution_type,latitude,longitude
363. Voya,Fortune 500 HQ,40.7127753,-74.0059728
64. Adobe,Fortune 500 HQ,37.3382082,-121.8863286
"53. Walt Disney, Burbank, CA, USA",Fortune 500 HQ,34.1808392,-118.30896610000002
360. Glenworth Financial,Fortune 500 HQ,37.5407246,-77.4360481
"374. Expeditors, 3rd Avenue, Seattle, WA, USA",Fortune 500 HQ,47.60583800000001,-122.33468299999998
"373. Dana Incorporated, Longbow Drive, Maumee, OH, USA",Fortune 500 HQ,41.574963,-83.68425609999997
"372. Jefferies Financial Group, Madison Avenue, New York, NY, USA",Fortune 500 HQ,40.760264,-73.97451639999997
"370. Wesco International Inc, West Station Square Drive, Pittsburgh, PA, USA",Fortune 500 HQ,40.4337234,-80.00578530000001
"371. Huntington Ingalls Industries, Washington Avenue, Newport News, VA, USA",Fortune 500 HQ,36.9882362,-76.43717830000003
369. Amphenol,Fortune 500 HQ,41.4570108,-72.82307359999999
"379. United Rentals,Stamford, CT, USA",Fortune 500 HQ,41.04067709999999,-73.55721870000002
"378. Assurant, New York, NY, USA",Fortune 500 HQ,40.70779160000001,-74.0089405
368. Alaska Air Group,Fortune 500 HQ,47.6062095,-122.3320708
"377. SpartanNash Company,  Byron Center, MI, USA",Fortune 500 HQ,42.825551,-85.68461400000001
"376. Darden Restaurants, Darden Center Drive, Orlando, FL, USA",Fortune 500 HQ,28.4180207,-81.42484430000002
367. THOR INDUSTRIES,Fortune 500 HQ,41.6819935,-85.97666709999999
"375. EMCOR Norwalk, Connecticut, USA",Fortune 500 HQ,41.14937389999999,-73.42692540000002
366. Masco Corp,Fortune 500 HQ,42.36837,-83.35270969999999
"365. Caesars Entertainment, Caesars Palace Drive, Las Vegas, NV, USA",Fortune 500 HQ,36.1165658,-115.17524029999998
"399. JetBlue Airways Corporation, Queens Plaza North, Long Island City, NY, USA",Fortune 500 HQ,40.7509337,-73.93859780000003
"398. WEC Energy Group, West Michigan Street, Milwaukee, WI, USA",Fortune 500 HQ,43.0370226,-87.91385330000003
