"Name","Latitude","Longitude","capacity"
"1st Summit Arena",40.3229087,-78.9228308,3517
"3M Arena at Mariucci",44.9780504,-93.2281029,10257
"Abbotsford Centre",49.0307232,-122.2871077,7073
"Acrisure Arena",33.7784544,-116.3390586,10087
"Addition Financial Arena",28.6073937,-81.1974192,10000
"Adirondack Bank Center",43.1048996,-75.2334094,3917
"Adventist Health Arena",37.9560164,-121.2960148,11193
"A.E. Wood Coliseum",32.3351635,-90.3322238,3500
"Agganis Arena",42.352232913662,-71.1177098751068,6150
"Air Canada Centre",43.6433504,-79.3790531,NA
"Alabama A&M Event Center",34.7867327,-86.576002,NA
"Alaska Airlines Arena",47.6520728,-122.3022455,9268
"Alaska Airlines Center",61.1886392,-149.8141837,5600
"Alex G. Spanos Center",37.976697,-121.3151336,5634
"Alfond Arena",44.904531,-68.6736381,5124
"Alico Arena",26.4710724324877,-81.7647010087967,4333
"Allen Arena",36.1036984,-86.7989606,5028
"Allen County War Memorial Coliseum",41.1156172,-85.1241517,10495
"Al Lawson Center",30.4241881,-84.2905855,9639
"Allen Fieldhouse",38.9543363,-95.2528381,15300
"Alliant Energy PowerHouse",41.9800639,-91.6674861,6800
"Allstate Arena",42.0052204,-87.8878355,16692
"Al McGuire Center",43.0399086,-87.9266202,3700
"Alumni Arena",42.9998138137038,-78.7810921669006,6783
"Alumni Hall",38.9845657658528,-76.4879107475281,5710
"Akins Ford Arena",33.9611885,-83.3708887,5500
"Amerant Bank Arena",26.1584907,-80.3255403,19250
"American Airlines Center",32.7904854437124,-96.8103539943695,18532
"AMSOIL Arena",46.7804684050275,-92.0996975898743,6756
"Anaheim Convention Center",33.8022445,-117.9198152,7500
"Angel of the Winds Arena",47.9784246,-122.203331,8149
"Appalachian Wireless Arena",37.4777956,-82.5171787,5272
"Arena-Auditorium",41.3133543,-105.5693865,NA
"Assembly Hall",39.1809507162735,-86.5224409103394,17222
"Athletics-Recreation Center",41.4644325,-87.0483296,NA
"Atlantic Union Bank Center",38.4304798,-78.8595522,8500
"Augusta Civic Center",44.3424043276655,-69.7989106178284,6777
"Ball Arena",39.7487077,-105.0076676,17809
"Bank of Springfield Center",39.8010604,-89.6444464,7700
"Bank OZK Arena",34.5096068,-93.0499614,6300
"Baptist Health Arena",37.7372843,-84.3013573,6500
"Barclays Center",40.6827290119536,-73.9755606651306,17732
"Barnhill Arena",36.0666583298427,-94.1779965162277,8500
"Bartow Arena",33.502021509423,-86.8092441558838,8500
"Baxter Arena",41.2362208,-96.0132766,7898
"Beasley Coliseum",46.7351989,-117.1580529,11671
"Beeghly Center",41.1082855,-80.6487948,4633
"Belgrade Special Events Center",45.7827585670373,-111.178658008575,4800
"Bell Centre",45.4960598,-73.569206,21288
"Bell Place",45.5558759,-73.7216038,10043
"Belk Arena",35.4992598,-80.8403849,5223
"Benchmark International Arena",27.9426448,-82.4517918,19204
"Berglund Center",37.2801782,-79.9358582,8672
"Bernard G. Johnson Coliseum",30.7128767615646,-95.5461323261261,6100
"Berry Bowl",40.7492213,-86.3311842,5873
"Berry Center",29.9048462,-95.6886113,8300
"Berry Events Center",46.5577537,-87.3926568,3802
"Bert Ogden Arena",26.2555295,-98.1647415,9324
"Bill Greehey Arena",29.4517667,-98.5643202,3800
"Bill Green Athletic Arena",40.5385891,-85.6698371,7560
"Bill Harris Arena",33.4947941,-86.8739858,5000
"Bismarck Event Center",46.8024389750884,-100.783338546753,10100
"Blue Arena",40.4441547,-104.9895036,5089
"Blue Cross Arena",43.1537434,-77.6107907,10662
"BMO Center",42.2702513,-89.0961063,5895
"Boardwalk Hall",39.354913,-74.4384149,12000
"Boart Longyear Memorial Gardens",46.3142314,-79.4489729,4250
"Bob Carpenter Center",39.6604951,-75.7486135,5000
"Bob Devaney Sports Center",40.8302502,-96.6976368,7907
"Bojangles' Coliseum",35.2050668,-80.7952273,NA
"BOK Center",36.1527418,-95.9964108,17096
"Bon Secours Wellness Arena",34.8527629038045,-82.3915600776672,13707
"Boonville High School Gym",38.0527508,-87.2794775,5650
"Bramlage Coliseum",39.2002839,-96.5939319,11010
"Bren Events Center",33.649310448126,-117.847208976746,5000
"Breslin Center",42.7281632054322,-84.4922661781311,14759
"Bridgestone Arena",36.1590828,-86.7784631,17159
"Broadview Center",42.6820016,-73.8283825,3899
"Brooks Gym",36.3026321,-82.3703492,3500
"Brookshire Grocery Arena",32.4651837,-93.6736394,11510
"Brownwood Coliseum",31.7201911680321,-98.9782762527466,4000
