Ref#,Prefix,Property Name,State,County,City,Street & Number,Status,Request Type,Restricted Address,Acreage of Property,Area of Significance,Category of Property,External Link,Level of Significance - International,Level of Significance - National,Level of Significance - State,Level of Significance - Local,Level of Significance - Not Indicated,Listed Date,NHL Designated Date,Other Names,Park Name,Property ID,Address,latitude,longitude,state,LHAT_member
80000681,NA,Lyric Theatre,ALABAMA,Calhoun,Anniston,1302 Noble St.,Listed,Single,FALSE,0.9,ENTERTAINMENT/RECREATION,BUILDING,https://catalog.archives.gov/id/77835877,FALSE,FALSE,TRUE,FALSE,FALSE,5/22/80,NA,Ritz Theatre,NA,80000681,"1302 Noble St., Anniston, ALABAMA",33.661140987492,-85.829895001757,AL,TRUE
79000386,NA,Alabama Theatre,ALABAMA,Jefferson,Birmingham,"1811 3rd Ave., N",Listed,Single,FALSE,0.4,ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,https://catalog.archives.gov/id/77836438,FALSE,FALSE,TRUE,FALSE,FALSE,11/13/79,NA,NA,NA,79000386,"1811 3rd Ave., N, Birmingham, ALABAMA",33.514943999944,-86.809352993411,AL,TRUE
89000315,NA,Downtown Birmingham Retail and Theatre Historic District,ALABAMA,Jefferson,Birmingham,"Roughly bounded by 3rd Ave. North, 20th St. North, Morris Ave., and 17th St. North",Listed,Single,FALSE,39,COMMERCE; ARCHITECTURE; ENTERTAINMENT/RECREATION,district,https://catalog.archives.gov/id/77836464,FALSE,FALSE,FALSE,TRUE,FALSE,5/5/89,NA,See Also:79000386;81000126;85000918;85002718;83002971,NA,89000315,"Roughly bounded by 3rd Ave. North, 20th St. North, Morris Ave., and 17th St. North, Birmingham, ALABAMA",33.511802420724,-86.809519206551,AL,FALSE
98000709,NA,Downtown Birmingham Retail and Theatre Historic District (Boundary Increase),ALABAMA,Jefferson,Birmingham,"1914, 1917, 1919, 1930 4th Ave.,N.",Listed,Single,FALSE,1.5,ARCHITECTURE,DISTRICT,https://catalog.archives.gov/id/77836466,FALSE,FALSE,FALSE,TRUE,FALSE,6/26/98,NA,See Also: Downtown Birmingham Retail and Theatre historic Di,NA,98000709,"1914, 1917, 1919, 1930 4th Ave.,N., Birmingham, ALABAMA",33.51731540799,-86.808038208079,AL,FALSE
73000351,NA,Auburn Players Theater,ALABAMA,Lee,Auburn,College Ave. at Thach St.,Listed,Single,FALSE,0.9,ART; RELIGION; PERFORMING ARTS,BUILDING,https://catalog.archives.gov/id/77836644,FALSE,FALSE,TRUE,FALSE,FALSE,5/22/73,NA,Presbyterian Church,NA,73000351,"College Ave. at Thach St., Auburn, ALABAMA",32.604166610448,-85.48181803221,AL,FALSE
100012405,SG,Princess Theatre,ALABAMA,Morgan,Decatur,112 2nd Avenue NE,Listed,Single,FALSE,1.22,ARCHITECTURE; ETHNIC HERITAGE-BLACK; ENTERTAINMENT/RECREATION,building,NA,FALSE,FALSE,FALSE,TRUE,FALSE,12/18/25,NA,NA,NA,100012405,"112 2nd Avenue NE, Decatur, ALABAMA",34.604601596764,-86.984658989583,AL,FALSE
84000746,NA,Bama Theatre-City Hall Building,ALABAMA,Tuscaloosa,Tuscaloosa,600 Greensboro Ave.,Listed,Single,FALSE,0.9,POLITICS/GOVERNMENT; ARCHITECTURE,BUILDING,https://catalog.archives.gov/id/77837489,FALSE,FALSE,FALSE,TRUE,FALSE,8/30/84,NA,Bama Theatre and Office Building,NA,84000746,"600 Greensboro Ave., Tuscaloosa, ALABAMA",33.208439593766,-87.568168364264,AL,FALSE
82001620,NA,Fourth Avenue Theatre (AHRS Site No. ANC-284),ALASKA,Anchorage,Anchorage,630 W. 4th Ave.,Listed,Single,FALSE,0.3,ART; ENTERTAINMENT/RECREATION; ARCHITECTURE; COMMUNICATIONS,BUILDING,https://catalog.archives.gov/id/75325368,FALSE,TRUE,FALSE,FALSE,FALSE,10/5/82,NA,The Lathrop Building;Lathrop's Showhouse,NA,82001620,"630 W. 4th Ave., Anchorage, ALASKA",61.218266012714,-149.894533040884,AK,FALSE
90000878,NA,Lacey Street Theatre,ALASKA,Fairbanks North Star,Fairbanks,504 Second Ave.,Listed,Single,FALSE,0.9,ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,https://catalog.archives.gov/id/75325450,FALSE,FALSE,FALSE,TRUE,FALSE,6/14/90,NA,AHRS Site No. FAI-207,NA,90000878,"504 Second Ave., Fairbanks, ALASKA",64.84367051853,-147.717877508941,AK,FALSE
76000372,NA,Grand Theatre,ARIZONA,Cochise,Douglas,1139--1149 G. Ave.,Listed,Single,FALSE,0.1,ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,https://catalog.archives.gov/id/75609652,FALSE,FALSE,TRUE,FALSE,FALSE,7/30/76,NA,NA,NA,76000372,"1139--1149 G. Ave., Douglas, ARIZONA",31.346331029826,-109.554163836666,AZ,FALSE
