Ref#,Prefix,Property Name,State,County,City,Street & Number,Status,Request Type,Restricted Address,Acreage of Property,Area of Significance,Category of Property,External Link,Level of Significance - International,Level of Significance - National,Level of Significance - State,Level of Significance - Local,Level of Significance - Not Indicated,Listed Date,NHL Designated Date,Other Names,Park Name,Property ID,Address,latitude,longitude
80000681,NA,Lyric Theatre,ALABAMA,Calhoun,Anniston,1302 Noble St.,Listed,Single,FALSE,0.9,ENTERTAINMENT/RECREATION,BUILDING,https://catalog.archives.gov/id/77835877,FALSE,FALSE,TRUE,FALSE,FALSE,5/22/80,NA,Ritz Theatre,NA,80000681,"1302 Noble St., Anniston, ALABAMA",33.661140987492,-85.829895001757
74002262,NA,Fort Payne Opera House,ALABAMA,De Kalb,Fort Payne,510 Gault Ave. N,Listed,Single,FALSE,0.2,SOCIAL HISTORY; PERFORMING ARTS,BUILDING,https://catalog.archives.gov/id/77836102,FALSE,FALSE,TRUE,FALSE,FALSE,4/28/70,NA,NA,NA,74002262,"510 Gault Ave. N, Fort Payne, ALABAMA",34.44479663132,-85.719482705798
77000204,NA,Dothan Opera House,ALABAMA,Houston,Dothan,103 N. St. Andrews St.,Listed,Single,FALSE,0.2,ARCHITECTURE,BUILDING,https://catalog.archives.gov/id/77836216,FALSE,FALSE,TRUE,FALSE,FALSE,12/16/77,NA,NA,NA,77000204,"103 N. St. Andrews St., Dothan, ALABAMA",31.223717452225,-85.390986011891
79000386,NA,Alabama Theatre,ALABAMA,Jefferson,Birmingham,"1811 3rd Ave., N",Listed,Single,FALSE,0.4,ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,https://catalog.archives.gov/id/77836438,FALSE,FALSE,TRUE,FALSE,FALSE,11/13/79,NA,NA,NA,79000386,"1811 3rd Ave., N, Birmingham, ALABAMA",33.514943999944,-86.809352993411
89000315,NA,Downtown Birmingham Retail and Theatre Historic District,ALABAMA,Jefferson,Birmingham,"Roughly bounded by 3rd Ave. North, 20th St. North, Morris Ave., and 17th St. North",Listed,Single,FALSE,39,COMMERCE; ARCHITECTURE; ENTERTAINMENT/RECREATION,district,https://catalog.archives.gov/id/77836464,FALSE,FALSE,FALSE,TRUE,FALSE,5/5/89,NA,See Also:79000386;81000126;85000918;85002718;83002971,NA,89000315,"Roughly bounded by 3rd Ave. North, 20th St. North, Morris Ave., and 17th St. North, Birmingham, ALABAMA",33.511802420724,-86.809519206551
98000709,NA,Downtown Birmingham Retail and Theatre Historic District (Boundary Increase),ALABAMA,Jefferson,Birmingham,"1914, 1917, 1919, 1930 4th Ave.,N.",Listed,Single,FALSE,1.5,ARCHITECTURE,DISTRICT,https://catalog.archives.gov/id/77836466,FALSE,FALSE,FALSE,TRUE,FALSE,6/26/98,NA,See Also: Downtown Birmingham Retail and Theatre historic Di,NA,98000709,"1914, 1917, 1919, 1930 4th Ave.,N., Birmingham, ALABAMA",33.51731540799,-86.808038208079
73000351,NA,Auburn Players Theater,ALABAMA,Lee,Auburn,College Ave. at Thach St.,Listed,Single,FALSE,0.9,ART; RELIGION; PERFORMING ARTS,BUILDING,https://catalog.archives.gov/id/77836644,FALSE,FALSE,TRUE,FALSE,FALSE,5/22/73,NA,Presbyterian Church,NA,73000351,"College Ave. at Thach St., Auburn, ALABAMA",32.604166610448,-85.48181803221
86000914,NA,Cotaco Opera House,ALABAMA,Morgan,Decatur,115 Johnson St. SE,Listed,Single,FALSE,0.9,SOCIAL HISTORY,BUILDING,https://catalog.archives.gov/id/77837239,FALSE,FALSE,FALSE,TRUE,FALSE,4/29/86,NA,Masonic Building,NA,86000914,"115 Johnson St. SE, Decatur, ALABAMA",34.602620953043,-86.985794569825
100012405,SG,Princess Theatre,ALABAMA,Morgan,Decatur,112 2nd Avenue NE,Listed,Single,FALSE,1.22,ARCHITECTURE; ETHNIC HERITAGE-BLACK; ENTERTAINMENT/RECREATION,building,NA,FALSE,FALSE,FALSE,TRUE,FALSE,12/18/25,NA,NA,NA,100012405,"112 2nd Avenue NE, Decatur, ALABAMA",34.604595058879,-86.984653960441
88003243,NA,Phillips Memorial Auditorium,ALABAMA,Perry,Marion,Lincoln Ave. and Lee St.,Listed,Single,FALSE,0.1,BLACK; EDUCATION; ARCHITECTURE,BUILDING,https://catalog.archives.gov/id/77837267,FALSE,FALSE,FALSE,TRUE,FALSE,2/13/90,NA,Lincoln Normal School,NA,88003243,"Lincoln Ave. and Lee St., Marion, ALABAMA",32.626000001387,-87.328821023614
