Museum,Zip,City,State,County,fips
WESTERVELT WARNER MUSEUM,35406,TUSCALOOSA,AL,TUSCALOOSA COUNTY,01125
U. S. ARMY AVIATION MUSEUM,36362,FORT RUCKER,AL,DALE COUNTY,01045
WESTERVELT-WARNER MUSEUM OF AMERICAN ART,35406,TUSCALOOSA,AL,TUSCALOOSA COUNTY,01125
U.S. SPACE & ROCKET CENTER,35807,HUNTSVILLE,AL,MADISON COUNTY,01089
WELLBORN MUSCLECAR MUSEUM,35010,ALEXANDER CITY,AL,TALLAPOOSA COUNTY,01123
VON BRAUN ASTRONOMICAL SOCIETY,35801,HUNTSVILLE,AL,MADISON COUNTY,01089
USS ALABAMA BATTLESHIP COMMISSION,36527,DAPHNE,AL,BALDWIN COUNTY,01003
SLOSS BLAST FURNACE SITE,35222,BIRMINGHAM,AL,JEFFERSON COUNTY,01073
STURDIVANT HALL,36702,SELMA,AL,DALLAS COUNTY,01047
THREE NOTCH MUSEUM,36420,ANDALUSIA,AL,COVINGTON COUNTY,01039
SLOSS FURNACES NATIONAL HISTORIC LANDMARK,35222,BIRMINGHAM,AL,JEFFERSON COUNTY,01073
SPRINGVILLE MUSEUM,35146,SPRINGVILLE,AL,ST. CLAIR COUNTY,01115
THOMAS BASS MUSEUM,35094,LEEDS,AL,JEFFERSON COUNTY,01073
SAMUEL ULLMAN MUSEUM,35205,BIRMINGHAM,AL,JEFFERSON COUNTY,01073
ORANGE BEACH INDIAN AND SEA,36561,ORANGE BEACH,AL,BALDWIN COUNTY,01003
NORTHPORT HERITAGE MUSEUM,35476,NORTHPORT,AL,TUSCALOOSA COUNTY,01125
POARCH CREEK INDIAN MUSEUM,36502,ATMORE,AL,ESCAMBIA COUNTY,01053
ORDEMAN-SHAW HOUSE,36104,MONTGOMERY,AL,MONTGOMERY COUNTY,01101
PIEDMONT MUSEUM,36272,PIEDMONT,AL,CALHOUN COUNTY,01015
